limit,sex,education,marital,age,default
400000,male,undergrad,married,34,0
240000,female,undergrad,single,38,0
50000,male,highschool,single,37,1
450000,male,grad,married,40,1
110000,female,grad,married,48,0
310000,female,undergrad,married,35,1
20000,male,grad,single,27,0
20000,male,undergrad,single,23,0
200000,male,highschool,single,52,0
180000,male,grad,married,36,1
50000,male,undergrad,married,51,1
60000,male,highschool,married,55,0
30000,female,grad,single,23,0
240000,male,grad,single,41,0
420000,male,undergrad,married,34,0
330000,male,highschool,married,46,0
30000,female,undergrad,single,22,0
240000,male,undergrad,married,34,0
150000,male,grad,single,27,0
210000,female,undergrad,married,33,0
50000,female,highschool,married,51,1
50000,male,grad,single,24,0
240000,male,grad,single,47,1
180000,male,undergrad,single,28,0
50000,male,undergrad,single,23,0
170000,male,undergrad,single,29,0
20000,male,grad,single,29,0
50000,male,grad,single,28,0
170000,female,undergrad,single,27,1
200000,male,grad,single,34,0
80000,female,undergrad,married,23,0
260000,female,grad,married,60,0
140000,male,undergrad,married,32,0
80000,male,grad,single,25,0
350000,male,grad,single,41,0
280000,female,undergrad,married,56,0
30000,female,highschool,single,26,0
140000,male,grad,married,34,0
200000,female,grad,single,37,0
200000,female,highschool,single,30,0
210000,male,highschool,married,45,1
50000,male,highschool,married,57,0
30000,male,grad,single,41,0
50000,male,undergrad,single,27,0
290000,male,highschool,married,47,0
250000,female,grad,married,34,0
60000,female,undergrad,married,46,0
110000,female,grad,single,27,0
370000,male,grad,single,50,0
100000,male,undergrad,married,27,0
90000,female,undergrad,married,35,0
50000,female,undergrad,single,22,0
270000,male,undergrad,single,37,0
300000,female,grad,single,30,0
50000,female,undergrad,single,22,0
50000,female,grad,single,24,1
360000,male,grad,single,29,0
130000,male,highschool,married,56,1
80000,male,grad,single,30,0
50000,male,undergrad,single,30,0
20000,female,undergrad,single,22,0
80000,female,undergrad,married,29,0
240000,male,grad,single,37,0
80000,female,highschool,single,35,0
500000,female,grad,married,47,0
60000,female,undergrad,married,24,1
20000,male,undergrad,single,25,0
100000,female,undergrad,married,38,1
360000,female,grad,single,32,0
200000,female,highschool,single,47,1
130000,female,undergrad,married,34,0
20000,female,undergrad,single,31,0
310000,male,grad,single,32,0
60000,female,grad,single,27,1
180000,female,grad,single,29,0
180000,female,grad,single,24,0
50000,male,undergrad,married,36,0
50000,female,grad,single,24,1
150000,female,undergrad,married,34,0
20000,female,grad,single,22,0
500000,female,grad,married,34,0
30000,female,highschool,single,22,1
180000,female,grad,married,38,0
140000,male,grad,single,31,0
140000,female,grad,single,26,0
120000,male,undergrad,single,26,0
360000,female,undergrad,married,48,0
20000,male,highschool,married,43,0
100000,male,grad,married,47,0
210000,female,undergrad,married,41,1
80000,female,undergrad,single,24,1
330000,female,grad,married,50,0
220000,male,grad,single,24,0
210000,female,grad,married,38,1
40000,female,highschool,married,43,0
30000,male,undergrad,single,39,0
470000,male,undergrad,single,27,0
30000,male,highschool,married,42,0
240000,female,undergrad,married,36,1
80000,male,undergrad,single,36,0
110000,female,highschool,other,31,0
310000,female,grad,single,38,0
360000,female,grad,married,40,1
330000,female,highschool,single,45,0
300000,female,undergrad,single,35,0
320000,female,undergrad,single,33,0
50000,female,highschool,single,37,1
170000,female,grad,single,28,0
350000,male,highschool,married,44,0
20000,male,undergrad,married,37,0
50000,male,undergrad,single,23,1
20000,female,highschool,single,24,0
50000,female,grad,single,24,0
20000,male,undergrad,single,23,1
50000,male,undergrad,married,26,0
190000,male,undergrad,single,34,1
60000,female,undergrad,married,33,0
80000,male,grad,single,35,0
150000,female,undergrad,single,27,0
210000,female,grad,single,31,0
240000,female,highschool,married,50,1
140000,female,undergrad,other,41,1
60000,female,grad,single,28,0
50000,male,grad,single,39,0
50000,female,undergrad,single,27,0
180000,female,grad,single,32,0
30000,female,grad,single,40,0
20000,female,undergrad,single,40,0
250000,female,undergrad,married,75,0
100000,female,undergrad,single,27,0
330000,male,grad,single,25,0
50000,male,highschool,married,46,0
50000,female,undergrad,single,26,0
30000,male,undergrad,single,28,0
140000,female,undergrad,single,26,1
160000,female,grad,single,28,0
400000,female,undergrad,single,29,0
50000,male,undergrad,married,25,0
140000,female,undergrad,married,48,0
160000,female,undergrad,married,33,0
100000,female,highschool,married,43,0
220000,male,grad,married,48,1
510000,female,grad,single,29,0
50000,male,undergrad,single,29,0
160000,female,grad,married,38,0
230000,female,grad,single,37,0
80000,female,grad,single,37,0
150000,female,undergrad,married,25,0
10000,male,highschool,single,23,0
130000,female,highschool,single,49,1
40000,female,grad,single,48,0
50000,male,undergrad,single,27,1
100000,male,highschool,single,32,0
120000,male,grad,married,34,0
260000,female,grad,single,58,1
200000,female,undergrad,single,33,0
360000,female,undergrad,single,28,1
70000,female,undergrad,single,36,0
460000,male,grad,married,40,1
50000,female,grad,single,26,0
50000,male,highschool,married,33,0
250000,female,undergrad,married,31,0
30000,female,grad,single,27,0
270000,male,undergrad,married,44,0
180000,female,highschool,single,30,0
100000,female,grad,single,28,0
230000,female,highschool,married,32,0
210000,female,grad,married,46,0
210000,male,grad,single,38,0
440000,female,undergrad,married,46,0
100000,female,undergrad,single,25,1
240000,female,undergrad,married,46,0
280000,male,grad,single,33,1
50000,female,undergrad,single,22,1
30000,male,undergrad,married,43,0
10000,male,undergrad,single,27,1
130000,male,grad,single,29,0
200000,male,grad,single,31,0
120000,female,undergrad,married,29,0
210000,female,undergrad,married,36,0
280000,female,grad,married,36,0
300000,male,grad,single,34,1
100000,male,undergrad,single,37,0
440000,female,grad,single,36,0
50000,female,highschool,married,40,0
20000,female,grad,single,25,1
200000,female,grad,single,27,0
110000,female,undergrad,single,26,0
500000,female,undergrad,married,36,0
300000,female,undergrad,married,27,0
30000,male,highschool,married,55,1
60000,female,grad,single,27,0
400000,female,undergrad,married,38,0
180000,female,undergrad,married,34,0
20000,male,grad,single,40,0
200000,female,highschool,married,49,1
100000,male,grad,single,27,0
60000,male,undergrad,single,23,1
110000,female,undergrad,single,36,0
260000,female,highschool,married,53,0
50000,female,highschool,married,46,0
180000,male,undergrad,single,29,0
110000,male,undergrad,single,29,1
340000,female,grad,single,27,0
50000,male,undergrad,single,24,0
230000,female,undergrad,married,28,1
360000,female,undergrad,single,32,0
210000,male,undergrad,single,43,0
220000,female,undergrad,married,41,1
60000,female,undergrad,married,34,1
340000,male,undergrad,married,55,0
150000,male,grad,married,40,0
200000,female,undergrad,married,37,1
130000,female,undergrad,single,40,1
60000,female,grad,single,28,0
400000,female,undergrad,married,43,0
20000,male,grad,single,27,0
190000,female,grad,single,28,0
260000,female,grad,single,30,0
140000,female,undergrad,single,31,0
50000,female,undergrad,married,31,1
120000,female,grad,single,34,0
240000,female,undergrad,single,30,0
50000,male,undergrad,single,36,0
200000,female,grad,single,29,0
180000,male,grad,married,39,0
180000,female,grad,single,26,0
160000,female,grad,single,29,0
100000,female,undergrad,single,26,0
50000,female,undergrad,single,29,1
140000,female,undergrad,single,31,0
30000,female,undergrad,single,26,1
90000,male,grad,single,26,0
200000,male,grad,married,36,0
380000,male,grad,single,30,1
80000,female,undergrad,single,43,0
50000,male,highschool,married,58,0
180000,male,undergrad,married,45,1
240000,female,undergrad,single,26,0
380000,male,undergrad,single,34,0
110000,female,other,single,24,0
260000,male,grad,married,34,0
500000,female,undergrad,single,23,1
320000,female,undergrad,single,30,0
50000,male,undergrad,single,32,0
110000,male,grad,married,40,1
230000,female,grad,single,35,0
330000,female,undergrad,married,56,0
50000,female,undergrad,married,61,0
10000,male,undergrad,single,24,0
300000,male,grad,married,40,0
20000,female,undergrad,married,32,1
180000,male,undergrad,married,36,1
160000,male,grad,single,30,0
90000,female,grad,single,34,0
30000,male,highschool,other,54,0
180000,male,grad,married,46,0
30000,male,highschool,married,58,0
30000,male,undergrad,married,43,0
140000,female,grad,single,28,0
210000,male,grad,single,30,0
50000,male,undergrad,single,31,1
130000,female,undergrad,single,29,0
50000,female,undergrad,married,37,1
140000,male,highschool,married,36,0
170000,female,undergrad,single,28,1
80000,male,undergrad,single,25,0
410000,female,other,married,42,0
80000,female,grad,single,29,0
80000,male,highschool,married,73,1
150000,male,undergrad,married,43,0
260000,male,grad,married,30,1
350000,male,grad,married,38,0
280000,female,undergrad,married,39,1
310000,male,undergrad,married,44,0
140000,female,undergrad,single,29,0
360000,male,grad,married,51,0
140000,female,grad,single,27,0
100000,male,grad,single,38,0
50000,female,undergrad,single,22,0
210000,female,undergrad,married,30,0
120000,female,undergrad,single,25,0
240000,male,grad,single,29,0
60000,female,highschool,other,42,0
150000,male,grad,single,41,1
30000,male,undergrad,married,48,0
160000,female,grad,single,29,1
200000,male,grad,married,52,0
120000,female,undergrad,married,25,0
500000,male,grad,married,37,0
320000,female,grad,single,27,0
280000,male,grad,single,31,0
60000,female,grad,single,23,1
200000,female,grad,married,38,0
230000,female,grad,married,32,0
230000,female,undergrad,single,27,1
480000,female,highschool,married,41,0
50000,female,highschool,married,35,0
200000,female,grad,single,31,0
50000,female,grad,single,30,0
50000,male,undergrad,married,48,0
260000,female,grad,single,36,1
30000,male,grad,single,24,0
440000,female,grad,single,29,0
230000,female,undergrad,single,38,0
200000,male,undergrad,married,38,1
490000,female,undergrad,married,30,0
80000,female,undergrad,married,32,0
20000,female,highschool,single,49,1
170000,female,grad,single,31,1
70000,male,grad,single,27,0
210000,female,undergrad,single,33,0
90000,female,undergrad,single,25,0
390000,female,grad,single,27,1
110000,female,grad,single,29,0
580000,female,grad,married,36,0
360000,male,highschool,married,55,0
270000,female,undergrad,married,32,1
60000,female,grad,single,27,0
110000,male,highschool,married,37,0
50000,female,grad,married,25,0
80000,female,grad,single,23,1
50000,male,undergrad,single,23,0
100000,male,grad,single,32,0
30000,female,grad,single,26,0
200000,female,grad,single,27,0
240000,male,grad,single,44,1
220000,male,undergrad,single,34,0
160000,female,grad,single,28,0
180000,female,grad,married,53,0
200000,male,other,married,42,0
140000,female,highschool,married,30,0
380000,male,grad,married,51,1
600000,male,grad,married,53,1
260000,male,undergrad,single,37,0
200000,female,grad,single,26,0
80000,male,undergrad,single,42,0
40000,male,undergrad,single,39,0
130000,male,highschool,single,39,0
50000,male,grad,single,32,0
230000,female,undergrad,married,41,0
70000,male,undergrad,married,48,1
180000,female,undergrad,married,38,0
80000,female,undergrad,married,36,0
290000,female,undergrad,single,26,0
230000,female,grad,single,28,0
170000,female,highschool,other,56,0
230000,male,grad,married,59,1
220000,male,grad,single,38,1
230000,male,undergrad,single,32,0
500000,male,undergrad,married,38,0
90000,female,grad,married,41,0
390000,female,highschool,single,35,1
400000,female,undergrad,single,41,0
180000,male,undergrad,married,34,0
60000,male,highschool,married,38,0
120000,female,undergrad,married,32,0
60000,female,undergrad,single,29,0
50000,male,grad,single,44,0
70000,female,undergrad,married,37,0
500000,female,grad,married,38,0
200000,male,grad,single,31,0
250000,female,undergrad,married,40,0
140000,male,undergrad,single,26,1
70000,female,undergrad,single,28,0
90000,male,highschool,married,48,0
100000,female,undergrad,married,43,0
190000,male,undergrad,married,31,0
230000,female,grad,married,42,0
320000,male,undergrad,married,39,0
220000,female,undergrad,married,36,1
260000,female,grad,married,34,0
90000,female,undergrad,single,32,0
30000,female,undergrad,married,43,0
260000,male,undergrad,single,30,0
170000,female,undergrad,single,28,0
80000,female,grad,married,28,1
50000,male,grad,married,41,0
200000,female,highschool,single,47,0
20000,male,undergrad,single,23,0
250000,female,grad,married,49,0
20000,male,grad,married,38,0
30000,female,undergrad,married,38,0
90000,female,undergrad,married,35,0
230000,female,other,single,46,0
130000,female,grad,married,33,1
30000,male,other,married,53,0
160000,male,grad,single,35,0
500000,female,undergrad,single,43,0
180000,female,undergrad,single,28,0
80000,female,undergrad,married,30,0
120000,male,grad,single,26,0
130000,male,undergrad,married,31,0
120000,female,undergrad,single,35,1
360000,male,grad,single,28,0
50000,male,undergrad,single,23,1
20000,female,undergrad,single,23,0
100000,male,highschool,married,56,0
70000,male,highschool,married,32,0
50000,male,undergrad,married,47,0
10000,female,undergrad,single,22,0
290000,female,grad,married,34,0
30000,female,grad,married,31,0
410000,female,undergrad,single,27,0
360000,male,grad,single,28,1
140000,female,undergrad,married,42,1
210000,female,grad,single,32,0
220000,female,undergrad,single,27,0
20000,male,undergrad,single,27,0
620000,female,undergrad,married,45,1
360000,male,grad,single,26,0
20000,female,undergrad,single,21,0
50000,male,undergrad,single,23,0
50000,male,undergrad,other,30,0
10000,male,undergrad,single,46,1
100000,female,highschool,married,50,1
50000,male,grad,single,26,0
60000,male,undergrad,single,25,0
440000,female,grad,single,35,0
120000,male,undergrad,married,44,0
50000,female,grad,single,52,0
110000,female,undergrad,married,40,0
200000,female,grad,single,38,0
150000,female,grad,single,28,0
30000,female,undergrad,married,36,1
100000,female,grad,single,24,0
360000,female,grad,married,34,0
390000,female,grad,single,31,0
220000,female,grad,married,41,1
160000,female,undergrad,single,25,0
230000,female,grad,single,28,0
120000,male,grad,single,27,0
100000,male,highschool,married,52,1
190000,female,grad,single,41,1
50000,male,grad,married,56,1
240000,female,grad,married,42,0
40000,female,undergrad,single,24,0
630000,female,undergrad,married,47,0
160000,female,grad,married,33,0
110000,female,undergrad,single,32,0
20000,male,undergrad,single,29,0
210000,female,highschool,married,53,0
270000,male,grad,single,34,0
360000,female,undergrad,single,52,0
60000,female,undergrad,married,42,0
360000,male,undergrad,single,38,0
390000,female,grad,single,45,0
250000,female,highschool,single,35,0
90000,female,grad,single,24,1
360000,male,grad,single,28,0
50000,male,highschool,single,26,0
270000,female,grad,married,40,0
200000,female,grad,single,29,0
50000,female,undergrad,single,23,0
350000,male,grad,single,33,0
160000,female,undergrad,single,60,1
80000,female,highschool,married,49,0
290000,male,grad,married,53,1
270000,female,grad,single,28,0
80000,male,grad,single,31,0
50000,male,undergrad,single,36,0
30000,male,undergrad,married,35,0
30000,male,undergrad,single,28,1
90000,male,undergrad,single,33,0
160000,male,grad,single,26,0
80000,female,highschool,single,53,0
50000,male,undergrad,single,42,0
20000,female,grad,single,25,0
220000,male,grad,married,43,1
210000,male,highschool,single,25,1
130000,female,undergrad,single,29,0
260000,female,undergrad,married,31,0
230000,female,grad,married,30,0
160000,male,grad,single,34,0
50000,male,grad,married,35,0
80000,male,undergrad,married,32,0
110000,male,highschool,single,46,0
200000,male,grad,married,43,0
360000,male,undergrad,single,29,0
210000,female,highschool,single,31,0
80000,female,undergrad,single,24,0
300000,female,undergrad,married,36,1
310000,female,undergrad,married,43,0
30000,male,highschool,married,59,1
170000,male,grad,married,53,0
140000,female,undergrad,single,28,0
180000,female,undergrad,single,31,0
50000,male,grad,single,34,0
50000,female,undergrad,married,36,0
110000,female,grad,single,24,0
450000,female,highschool,married,36,0
200000,female,undergrad,married,34,0
220000,male,grad,single,43,0
360000,female,grad,single,29,1
50000,male,undergrad,married,37,0
40000,male,undergrad,single,23,0
190000,female,undergrad,married,37,0
150000,male,grad,single,33,0
200000,female,grad,married,37,0
270000,female,undergrad,married,56,0
60000,male,grad,single,25,0
200000,female,undergrad,married,39,0
150000,female,undergrad,married,39,0
180000,female,undergrad,single,28,0
90000,female,grad,single,27,0
360000,female,undergrad,married,37,0
90000,female,grad,single,24,0
20000,female,undergrad,single,24,0
70000,male,grad,married,46,0
230000,male,grad,married,39,0
30000,male,highschool,married,48,0
200000,female,highschool,other,45,0
100000,male,highschool,single,49,0
50000,female,undergrad,single,23,0
20000,female,highschool,married,25,0
210000,female,undergrad,married,47,0
110000,male,highschool,married,56,0
20000,female,highschool,married,44,0
50000,female,highschool,married,49,0
50000,male,undergrad,married,41,0
400000,female,grad,single,40,0
170000,male,undergrad,single,31,0
280000,male,undergrad,married,42,0
130000,female,highschool,married,28,0
210000,female,undergrad,single,32,0
370000,male,undergrad,single,28,0
30000,female,undergrad,married,31,0
150000,male,highschool,single,39,0
60000,male,highschool,married,31,1
80000,female,undergrad,single,24,0
280000,female,undergrad,married,44,1
20000,female,undergrad,single,46,0
270000,male,grad,single,32,0
240000,female,undergrad,single,26,0
20000,female,grad,single,22,0
450000,female,grad,married,42,1
10000,male,undergrad,single,33,0
280000,male,undergrad,married,39,1
290000,female,highschool,single,27,0
190000,female,grad,single,28,1
80000,female,grad,single,23,0
280000,female,undergrad,single,28,0
160000,female,grad,married,33,0
90000,male,undergrad,married,40,1
140000,female,grad,single,37,0
50000,male,grad,single,22,0
40000,female,undergrad,married,32,0
130000,female,highschool,married,43,0
70000,female,highschool,married,27,0
30000,female,undergrad,married,35,0
100000,female,highschool,married,35,0
20000,female,grad,married,30,1
30000,female,undergrad,single,34,0
20000,male,undergrad,married,34,1
100000,female,grad,single,28,1
30000,male,undergrad,single,25,1
320000,female,grad,married,41,0
90000,male,highschool,single,42,1
190000,male,undergrad,single,40,1
200000,male,grad,single,28,0
300000,female,undergrad,single,31,0
30000,female,grad,single,56,0
110000,female,undergrad,other,45,0
230000,female,grad,single,29,0
230000,female,grad,married,35,0
310000,female,undergrad,single,28,0
320000,male,grad,married,40,0
360000,male,grad,married,47,0
20000,female,highschool,married,41,1
170000,female,undergrad,single,27,0
140000,male,grad,married,40,0
80000,male,undergrad,single,32,0
150000,male,undergrad,single,35,0
170000,male,undergrad,single,27,0
200000,female,undergrad,married,29,1
70000,male,grad,single,30,0
320000,male,undergrad,married,37,0
150000,female,grad,single,29,0
50000,female,grad,married,34,0
90000,female,undergrad,single,34,0
280000,male,grad,married,41,0
300000,female,grad,single,31,0
400000,female,undergrad,single,40,0
200000,female,grad,married,27,0
10000,female,highschool,single,22,1
50000,female,undergrad,other,30,1
30000,female,undergrad,other,22,0
50000,male,grad,single,26,1
50000,male,undergrad,married,38,0
30000,female,highschool,married,46,0
20000,male,undergrad,single,24,0
20000,male,undergrad,single,49,0
50000,male,grad,other,49,0
30000,female,undergrad,married,42,0
360000,female,grad,married,30,0
170000,male,undergrad,married,42,0
400000,female,grad,single,31,0
50000,female,undergrad,married,49,0
160000,female,undergrad,single,27,0
70000,female,undergrad,married,33,1
150000,female,grad,married,35,0
80000,female,undergrad,single,48,0
30000,female,undergrad,single,22,0
10000,male,undergrad,single,22,1
180000,female,grad,single,27,0
320000,male,grad,married,47,0
80000,female,undergrad,single,34,0
10000,male,undergrad,married,45,1
360000,female,undergrad,single,39,0
450000,male,undergrad,single,33,0
330000,female,undergrad,single,29,0
60000,male,grad,single,29,1
50000,female,highschool,single,26,0
200000,male,undergrad,married,38,0
120000,male,grad,single,34,0
160000,female,grad,married,37,0
110000,male,undergrad,married,57,0
70000,female,highschool,married,50,0
150000,female,highschool,single,28,0
610000,female,grad,single,31,0
110000,female,grad,single,25,0
80000,female,undergrad,single,25,1
170000,female,undergrad,married,33,0
110000,female,grad,single,30,0
140000,female,grad,married,51,0
70000,male,grad,single,51,0
260000,female,undergrad,married,46,0
170000,male,highschool,single,38,0
50000,female,undergrad,married,34,0
300000,female,highschool,married,34,1
150000,female,grad,single,31,1
50000,female,undergrad,single,25,1
50000,female,undergrad,married,26,0
90000,female,grad,single,25,0
50000,male,undergrad,single,26,1
500000,female,undergrad,single,43,0
470000,female,undergrad,married,36,0
230000,male,undergrad,single,58,0
140000,female,undergrad,single,26,0
230000,female,undergrad,married,30,1
420000,female,undergrad,single,31,0
30000,female,undergrad,single,24,0
50000,female,undergrad,single,52,1
140000,female,undergrad,single,24,0
260000,female,undergrad,married,35,0
90000,female,highschool,single,29,0
240000,female,undergrad,married,33,0
510000,female,grad,single,35,0
110000,female,undergrad,married,35,0
210000,female,grad,single,28,0
220000,male,undergrad,married,40,0
200000,female,grad,married,35,0
360000,female,undergrad,single,53,0
260000,male,grad,single,44,0
20000,male,undergrad,married,33,0
120000,female,undergrad,married,32,0
50000,female,grad,single,33,0
60000,female,grad,single,26,0
200000,male,grad,single,26,0
20000,male,undergrad,single,26,0
50000,female,grad,married,32,1
50000,female,undergrad,single,31,0
230000,male,grad,single,29,0
50000,male,undergrad,married,27,0
100000,female,grad,single,28,1
210000,female,grad,married,42,1
230000,female,undergrad,married,32,1
500000,female,grad,single,26,0
370000,female,grad,single,38,0
230000,female,grad,married,35,0
80000,male,undergrad,single,29,0
60000,female,undergrad,single,29,0
30000,female,undergrad,single,51,0
70000,male,grad,single,27,0
410000,male,grad,single,32,0
280000,female,highschool,married,40,0
50000,female,grad,married,34,0
100000,female,undergrad,married,30,0
230000,female,grad,single,29,0
50000,female,grad,single,22,0
100000,female,grad,single,48,0
210000,female,undergrad,married,35,0
400000,male,grad,single,37,0
20000,male,undergrad,single,25,1
50000,female,highschool,married,44,0
230000,female,grad,single,28,0
220000,male,undergrad,single,29,0
300000,female,grad,married,36,0
80000,female,undergrad,single,23,0
20000,female,highschool,single,36,1
190000,female,grad,single,26,0
160000,female,undergrad,other,37,0
120000,female,grad,other,44,0
700000,female,grad,married,39,0
140000,female,grad,single,24,0
300000,female,highschool,married,29,0
120000,male,highschool,married,33,1
280000,female,undergrad,married,39,0
70000,male,highschool,married,51,1
20000,female,highschool,single,24,0
150000,female,undergrad,married,45,0
60000,male,grad,single,30,0
200000,female,highschool,other,51,0
50000,female,undergrad,single,24,1
150000,male,undergrad,married,50,0
20000,female,grad,single,22,0
40000,male,grad,single,27,1
170000,female,undergrad,single,33,0
50000,female,undergrad,married,24,0
10000,male,undergrad,single,37,0
200000,female,undergrad,married,58,0
50000,female,undergrad,married,48,0
320000,male,grad,single,28,0
20000,female,highschool,married,24,0
470000,female,undergrad,married,27,1
230000,female,highschool,single,30,0
20000,female,grad,single,23,0
30000,female,highschool,single,53,1
80000,female,undergrad,single,23,0
110000,female,undergrad,married,55,0
420000,male,undergrad,married,34,0
500000,male,grad,married,43,1
80000,female,undergrad,single,22,0
350000,female,undergrad,married,31,0
30000,female,undergrad,married,32,0
110000,female,undergrad,single,33,1
500000,male,highschool,married,39,0
490000,female,grad,married,38,0
300000,female,undergrad,married,34,0
50000,male,undergrad,other,42,1
150000,male,highschool,married,37,1
80000,female,highschool,married,57,0
40000,female,undergrad,single,23,0
30000,male,undergrad,single,32,0
50000,male,grad,married,37,0
140000,female,undergrad,single,23,0
50000,female,highschool,single,49,0
30000,female,undergrad,single,25,0
40000,female,grad,single,29,1
100000,female,highschool,married,43,1
130000,male,undergrad,single,29,0
20000,female,undergrad,single,27,0
50000,male,grad,single,26,0
260000,male,grad,married,41,0
30000,female,highschool,single,52,1
10000,female,undergrad,married,31,0
200000,male,grad,single,32,0
30000,female,undergrad,married,46,0
180000,female,undergrad,single,35,0
100000,male,grad,single,35,0
140000,female,undergrad,married,39,0
290000,female,undergrad,single,34,0
20000,female,undergrad,other,52,0
80000,female,highschool,married,40,0
500000,female,highschool,married,38,0
180000,male,grad,married,45,0
20000,female,highschool,married,40,0
30000,female,undergrad,married,25,0
150000,male,grad,single,33,0
280000,female,undergrad,single,27,0
50000,female,undergrad,married,43,0
20000,female,undergrad,married,43,0
200000,male,grad,single,30,0
210000,female,undergrad,married,49,1
230000,female,grad,single,38,0
50000,male,highschool,single,57,0
50000,male,highschool,single,55,1
70000,female,undergrad,single,23,0
310000,male,grad,single,30,0
180000,female,undergrad,married,30,0
90000,female,undergrad,single,24,0
390000,male,undergrad,single,28,0
150000,female,highschool,married,34,0
400000,male,undergrad,single,37,0
80000,female,undergrad,married,32,0
320000,male,grad,single,27,0
240000,female,undergrad,married,37,1
200000,male,grad,single,31,0
110000,male,grad,other,55,1
170000,female,grad,single,28,1
90000,female,highschool,other,51,1
200000,male,grad,married,36,0
360000,male,grad,single,30,0
140000,female,grad,married,36,0
220000,male,undergrad,single,25,0
100000,male,highschool,married,50,0
80000,female,undergrad,single,40,0
30000,female,undergrad,single,27,0
50000,male,grad,single,30,1
120000,female,undergrad,single,26,0
50000,male,grad,single,27,0
360000,female,grad,single,27,0
90000,female,grad,single,25,0
500000,male,grad,single,32,0
140000,female,highschool,married,46,0
30000,male,highschool,married,45,0
70000,male,highschool,married,30,0
200000,male,grad,married,39,0
350000,male,grad,married,48,0
120000,male,grad,single,32,1
240000,male,grad,single,46,0
90000,female,grad,single,23,0
260000,female,grad,single,33,0
50000,female,grad,single,24,0
110000,male,grad,married,40,0
20000,female,grad,single,24,0
30000,female,undergrad,single,24,0
180000,male,grad,single,27,1
20000,male,undergrad,married,46,0
50000,female,undergrad,single,22,0
180000,female,grad,single,36,0
