instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
10128,3/3/2012,1,1,3,1,0,6,0,3,0.36,0.3788,0.93,0,0,44,44
10129,3/3/2012,1,1,3,2,0,6,0,3,0.36,0.3636,0.93,0.0896,4,34,38
10130,3/3/2012,1,1,3,3,0,6,0,2,0.36,0.3485,0.93,0.1642,1,20,21
10131,3/3/2012,1,1,3,4,0,6,0,2,0.36,0.3485,0.93,0.194,0,2,2
10132,3/3/2012,1,1,3,5,0,6,0,2,0.36,0.3636,0.93,0.0896,1,1,2
10133,3/3/2012,1,1,3,6,0,6,0,2,0.36,0.3636,0.93,0.0896,1,6,7
10134,3/3/2012,1,1,3,7,0,6,0,2,0.36,0.3485,0.93,0.1343,2,14,16
10135,3/3/2012,1,1,3,8,0,6,0,3,0.36,0.3788,0.93,0,2,46,48
10136,3/3/2012,1,1,3,9,0,6,0,3,0.38,0.3939,0.87,0.0896,7,87,94
10137,3/3/2012,1,1,3,10,0,6,0,2,0.4,0.4091,0.87,0,31,137,168
10138,3/3/2012,1,1,3,11,0,6,0,2,0.4,0.4091,0.87,0.0896,33,181,214
10139,3/3/2012,1,1,3,12,0,6,0,2,0.42,0.4242,0.67,0.2537,47,252,299
10140,3/3/2012,1,1,3,13,0,6,0,1,0.44,0.4394,0.51,0.2836,87,252,339
10141,3/3/2012,1,1,3,14,0,6,0,2,0.46,0.4545,0.44,0.3582,151,279,430
10142,3/3/2012,1,1,3,15,0,6,0,1,0.48,0.4697,0.29,0.2985,145,254,399
10143,3/3/2012,1,1,3,16,0,6,0,1,0.5,0.4848,0.27,0.2985,167,300,467
10144,3/3/2012,1,1,3,17,0,6,0,1,0.5,0.4848,0.23,0.3284,106,279,385
10145,3/3/2012,1,1,3,18,0,6,0,1,0.5,0.4848,0.25,0.2537,53,250,303
10146,3/3/2012,1,1,3,19,0,6,0,1,0.46,0.4545,0.33,0.1642,34,191,225
10147,3/3/2012,1,1,3,20,0,6,0,1,0.44,0.4394,0.3,0.1343,28,121,149
10148,3/3/2012,1,1,3,21,0,6,0,1,0.46,0.4545,0.19,0.3284,24,130,154
10149,3/3/2012,1,1,3,22,0,6,0,1,0.44,0.4394,0.21,0.1343,19,115,134
10150,3/3/2012,1,1,3,23,0,6,0,1,0.42,0.4242,0.24,0,12,94,106
10151,3/4/2012,1,1,3,0,0,0,0,2,0.4,0.4091,0.3,0.3582,5,67,72
10152,3/4/2012,1,1,3,1,0,0,0,2,0.38,0.3939,0.34,0.194,16,60,76
10153,3/4/2012,1,1,3,2,0,0,0,2,0.36,0.3485,0.4,0.1642,14,66,80
10154,3/4/2012,1,1,3,3,0,0,0,2,0.36,0.3485,0.43,0.1343,5,21,26
10155,3/4/2012,1,1,3,4,0,0,0,2,0.34,0.3333,0.46,0.194,3,11,14
10156,3/4/2012,1,1,3,5,0,0,0,2,0.34,0.3182,0.46,0.2239,0,5,5
10157,3/4/2012,1,1,3,6,0,0,0,2,0.3,0.2727,0.52,0.2985,0,5,5
10158,3/4/2012,1,1,3,7,0,0,0,2,0.3,0.2727,0.52,0.2985,2,21,23
10159,3/4/2012,1,1,3,8,0,0,0,1,0.3,0.2727,0.52,0.3284,12,54,66
10160,3/4/2012,1,1,3,9,0,0,0,1,0.3,0.2727,0.49,0.4478,14,104,118
10161,3/4/2012,1,1,3,10,0,0,0,1,0.3,0.2727,0.49,0.3284,31,161,192
10162,3/4/2012,1,1,3,11,0,0,0,1,0.32,0.2879,0.45,0.3881,64,192,256
10163,3/4/2012,1,1,3,12,0,0,0,1,0.34,0.303,0.42,0.3582,71,256,327
10164,3/4/2012,1,1,3,13,0,0,0,1,0.36,0.3333,0.37,0.3582,108,256,364
10165,3/4/2012,1,1,3,14,0,0,0,1,0.36,0.3333,0.34,0.3582,106,226,332
10166,3/4/2012,1,1,3,15,0,0,0,1,0.36,0.3182,0.32,0.5224,82,252,334
10167,3/4/2012,1,1,3,16,0,0,0,1,0.36,0.3182,0.29,0.4925,68,231,299
10168,3/4/2012,1,1,3,17,0,0,0,1,0.34,0.2879,0.31,0.5522,49,214,263
10169,3/4/2012,1,1,3,18,0,0,0,1,0.32,0.2727,0.33,0.6119,20,164,184
10170,3/4/2012,1,1,3,19,0,0,0,1,0.3,0.2576,0.36,0.4925,12,120,132
10171,3/4/2012,1,1,3,20,0,0,0,1,0.28,0.2727,0.38,0.2537,8,80,88
10172,3/4/2012,1,1,3,21,0,0,0,1,0.28,0.2727,0.36,0.2239,9,70,79
10173,3/4/2012,1,1,3,22,0,0,0,1,0.26,0.2424,0.41,0.2537,9,53,62
10174,3/4/2012,1,1,3,23,0,0,0,1,0.26,0.2576,0.41,0.194,2,24,26
10175,3/5/2012,1,1,3,0,0,1,1,1,0.24,0.2273,0.44,0.194,2,15,17
10176,3/5/2012,1,1,3,1,0,1,1,1,0.24,0.2424,0.48,0.1343,3,3,6
10177,3/5/2012,1,1,3,2,0,1,1,1,0.24,0.2424,0.48,0.1343,1,3,4
10178,3/5/2012,1,1,3,3,0,1,1,1,0.22,0.2273,0.51,0.1642,0,1,1
10179,3/5/2012,1,1,3,4,0,1,1,1,0.2,0.2273,0.55,0.0896,0,1,1
10180,3/5/2012,1,1,3,5,0,1,1,1,0.2,0.2273,0.55,0.0896,1,17,18
10181,3/5/2012,1,1,3,6,0,1,1,1,0.18,0.197,0.59,0.1343,2,89,91
10182,3/5/2012,1,1,3,7,0,1,1,1,0.18,0.197,0.59,0.1343,7,253,260
10183,3/5/2012,1,1,3,8,0,1,1,1,0.2,0.2273,0.59,0.1045,13,415,428
10184,3/5/2012,1,1,3,9,0,1,1,2,0.22,0.2576,0.6,0.0896,11,186,197
10185,3/5/2012,1,1,3,10,0,1,1,2,0.24,0.2576,0.6,0,12,74,86
10186,3/5/2012,1,1,3,11,0,1,1,2,0.26,0.2727,0.56,0.1343,17,86,103
10187,3/5/2012,1,1,3,12,0,1,1,2,0.26,0.303,0.52,0,15,122,137
10188,3/5/2012,1,1,3,13,0,1,1,2,0.26,0.2576,0.55,0.2985,11,109,120
10189,3/5/2012,1,1,3,14,0,1,1,2,0.28,0.2576,0.57,0.3582,13,115,128
10190,3/5/2012,1,1,3,15,0,1,1,2,0.3,0.2879,0.53,0.194,20,110,130
10191,3/5/2012,1,1,3,16,0,1,1,1,0.3,0.2727,0.45,0.2985,30,180,210
10192,3/5/2012,1,1,3,17,0,1,1,3,0.3,0.2727,0.45,0.2985,11,376,387
10193,3/5/2012,1,1,3,18,0,1,1,3,0.28,0.2273,0.55,0.6567,12,363,375
10194,3/5/2012,1,1,3,19,0,1,1,1,0.26,0.2576,0.53,0.2239,6,220,226
10195,3/5/2012,1,1,3,20,0,1,1,1,0.26,0.2273,0.37,0.4627,8,171,179
10196,3/5/2012,1,1,3,21,0,1,1,1,0.26,0.2273,0.37,0.3881,4,116,120
10197,3/5/2012,1,1,3,22,0,1,1,1,0.24,0.2121,0.35,0.3284,2,76,78
10198,3/5/2012,1,1,3,23,0,1,1,1,0.22,0.1818,0.37,0.5821,2,29,31
10199,3/6/2012,1,1,3,0,0,2,1,1,0.22,0.2121,0.37,0.2985,0,8,8
10200,3/6/2012,1,1,3,1,0,2,1,1,0.2,0.197,0.44,0.2537,0,6,6
10201,3/6/2012,1,1,3,2,0,2,1,1,0.2,0.197,0.44,0.2239,0,4,4
10202,3/6/2012,1,1,3,3,0,2,1,1,0.18,0.1667,0.51,0.2836,0,1,1
10203,3/6/2012,1,1,3,4,0,2,1,1,0.18,0.1667,0.51,0.2985,0,3,3
10204,3/6/2012,1,1,3,5,0,2,1,1,0.18,0.1818,0.51,0.2239,0,25,25
10205,3/6/2012,1,1,3,6,0,2,1,1,0.18,0.2121,0.51,0.1045,3,99,102
10206,3/6/2012,1,1,3,7,0,2,1,1,0.16,0.1818,0.55,0.1343,5,270,275
10207,3/6/2012,1,1,3,8,0,2,1,1,0.16,0.1818,0.59,0.1045,14,487,501
10208,3/6/2012,1,1,3,9,0,2,1,1,0.22,0.2727,0.47,0,11,222,233
10209,3/6/2012,1,1,3,10,0,2,1,1,0.24,0.2576,0.44,0,16,113,129
10210,3/6/2012,1,1,3,11,0,2,1,1,0.26,0.2576,0.41,0.1642,20,110,130
10211,3/6/2012,1,1,3,12,0,2,1,1,0.26,0.2727,0.41,0.1045,9,129,138
10212,3/6/2012,1,1,3,13,0,2,1,1,0.3,0.303,0.39,0.1343,16,148,164
10213,3/6/2012,1,1,3,14,0,2,1,1,0.32,0.303,0.36,0.2239,20,116,136
10214,3/6/2012,1,1,3,15,0,2,1,1,0.34,0.303,0.36,0.2985,24,142,166
10215,3/6/2012,1,1,3,16,0,2,1,1,0.36,0.3333,0.32,0.2836,22,228,250
10216,3/6/2012,1,1,3,17,0,2,1,1,0.36,0.3333,0.34,0.2836,21,425,446
10217,3/6/2012,1,1,3,18,0,2,1,1,0.34,0.303,0.42,0.3284,15,442,457
10218,3/6/2012,1,1,3,19,0,2,1,1,0.34,0.303,0.46,0.2985,9,278,287
10219,3/6/2012,1,1,3,20,0,2,1,1,0.32,0.3182,0.49,0.194,3,184,187
10220,3/6/2012,1,1,3,21,0,2,1,1,0.32,0.3182,0.49,0.194,5,143,148
10221,3/6/2012,1,1,3,22,0,2,1,1,0.28,0.2727,0.56,0.1642,5,101,106
10222,3/6/2012,1,1,3,23,0,2,1,1,0.28,0.2727,0.61,0.2239,3,51,54
10223,3/7/2012,1,1,3,0,0,3,1,1,0.28,0.2576,0.65,0.2836,3,12,15
10224,3/7/2012,1,1,3,1,0,3,1,1,0.3,0.2727,0.61,0.2985,1,4,5
10225,3/7/2012,1,1,3,2,0,3,1,1,0.3,0.2879,0.56,0.2836,0,4,4
10226,3/7/2012,1,1,3,3,0,3,1,1,0.3,0.2727,0.56,0.3582,1,2,3
10227,3/7/2012,1,1,3,4,0,3,1,1,0.28,0.2576,0.61,0.3284,0,3,3
10228,3/7/2012,1,1,3,5,0,3,1,1,0.28,0.2576,0.56,0.2985,0,18,18
10229,3/7/2012,1,1,3,6,0,3,1,1,0.28,0.2576,0.61,0.3881,4,104,108
10230,3/7/2012,1,1,3,7,0,3,1,1,0.26,0.2273,0.65,0.3881,12,332,344
10231,3/7/2012,1,1,3,8,0,3,1,1,0.28,0.2576,0.61,0.2985,12,554,566
10232,3/7/2012,1,1,3,9,0,3,1,1,0.3,0.2727,0.61,0.3284,12,252,264
10233,3/7/2012,1,1,3,10,0,3,1,1,0.36,0.3333,0.5,0.2985,20,127,147
10234,3/7/2012,1,1,3,11,0,3,1,1,0.42,0.4242,0.38,0.2985,33,128,161
10235,3/7/2012,1,1,3,12,0,3,1,1,0.44,0.4394,0.38,0.3881,40,175,215
10236,3/7/2012,1,1,3,13,0,3,1,1,0.5,0.4848,0.34,0.4179,26,179,205
10237,3/7/2012,1,1,3,14,0,3,1,1,0.52,0.5,0.36,0.3284,38,137,175
10238,3/7/2012,1,1,3,15,0,3,1,1,0.54,0.5152,0.37,0.4478,44,165,209
10239,3/7/2012,1,1,3,16,0,3,1,1,0.56,0.5303,0.37,0.4179,34,254,288
10240,3/7/2012,1,1,3,17,0,3,1,1,0.56,0.5303,0.43,0.4925,58,554,612
10241,3/7/2012,1,1,3,18,0,3,1,1,0.56,0.5303,0.4,0.4627,35,509,544
10242,3/7/2012,1,1,3,19,0,3,1,1,0.54,0.5152,0.42,0.3582,16,345,361
10243,3/7/2012,1,1,3,20,0,3,1,1,0.5,0.4848,0.51,0.2537,18,242,260
10244,3/7/2012,1,1,3,21,0,3,1,1,0.44,0.4394,0.62,0.2537,11,177,188
10245,3/7/2012,1,1,3,22,0,3,1,1,0.46,0.4545,0.59,0.2985,10,149,159
10246,3/7/2012,1,1,3,23,0,3,1,1,0.44,0.4394,0.62,0.3284,4,58,62
10247,3/8/2012,1,1,3,0,0,4,1,1,0.44,0.4394,0.62,0.3284,11,35,46
10248,3/8/2012,1,1,3,1,0,4,1,1,0.46,0.4545,0.63,0.3284,4,17,21
10249,3/8/2012,1,1,3,2,0,4,1,1,0.46,0.4545,0.63,0.3881,6,5,11
10250,3/8/2012,1,1,3,3,0,4,1,1,0.46,0.4545,0.63,0.3881,0,3,3
10251,3/8/2012,1,1,3,4,0,4,1,1,0.44,0.4394,0.72,0.2836,0,2,2
10252,3/8/2012,1,1,3,5,0,4,1,1,0.42,0.4242,0.77,0.2239,1,28,29
10253,3/8/2012,1,1,3,6,0,4,1,1,0.42,0.4242,0.77,0.2537,4,105,109
10254,3/8/2012,1,1,3,7,0,4,1,1,0.42,0.4242,0.77,0.3582,8,326,334
10255,3/8/2012,1,1,3,8,0,4,1,1,0.44,0.4394,0.77,0.3881,12,573,585
10256,3/8/2012,1,1,3,9,0,4,1,1,0.46,0.4545,0.72,0.4627,19,282,301
10257,3/8/2012,1,1,3,10,0,4,1,1,0.5,0.4848,0.68,0.4627,19,119,138
10258,3/8/2012,1,1,3,11,0,4,1,2,0.54,0.5152,0.6,0.4627,48,156,204
10259,3/8/2012,1,1,3,12,0,4,1,2,0.56,0.5303,0.6,0.4478,27,224,251
10260,3/8/2012,1,1,3,13,0,4,1,2,0.6,0.6212,0.49,0.6418,35,198,233
10261,3/8/2012,1,1,3,14,0,4,1,2,0.62,0.6212,0.43,0.6418,48,155,203
10262,3/8/2012,1,1,3,15,0,4,1,1,0.64,0.6212,0.38,0.6866,24,161,185
10263,3/8/2012,1,1,3,16,0,4,1,2,0.62,0.6212,0.41,0.6418,37,305,342
10264,3/8/2012,1,1,3,17,0,4,1,1,0.62,0.6212,0.38,0.6567,52,545,597
10265,3/8/2012,1,1,3,18,0,4,1,2,0.62,0.6212,0.38,0.5522,45,545,590
10266,3/8/2012,1,1,3,19,0,4,1,2,0.6,0.6212,0.4,0.4478,21,395,416
10267,3/8/2012,1,1,3,20,0,4,1,2,0.6,0.6212,0.43,0.3881,20,282,302
10268,3/8/2012,1,1,3,21,0,4,1,1,0.6,0.6212,0.43,0.3881,27,206,233
10269,3/8/2012,1,1,3,22,0,4,1,1,0.56,0.5303,0.49,0.3284,12,141,153
10270,3/8/2012,1,1,3,23,0,4,1,2,0.56,0.5303,0.49,0.4478,6,88,94
10271,3/9/2012,1,1,3,0,0,5,1,2,0.58,0.5455,0.49,0.4627,3,51,54
10272,3/9/2012,1,1,3,1,0,5,1,3,0.56,0.5303,0.52,0.4925,4,22,26
10273,3/9/2012,1,1,3,2,0,5,1,3,0.48,0.4697,0.77,0.4179,2,9,11
10274,3/9/2012,1,1,3,3,0,5,1,1,0.46,0.4545,0.77,0.5224,0,7,7
10275,3/9/2012,1,1,3,4,0,5,1,3,0.4,0.4091,0.66,0.2836,0,1,1
10276,3/9/2012,1,1,3,5,0,5,1,3,0.4,0.4091,0.66,0.2836,2,27,29
10277,3/9/2012,1,1,3,6,0,5,1,2,0.4,0.4091,0.5,0.3582,2,83,85
10278,3/9/2012,1,1,3,7,0,5,1,2,0.38,0.3939,0.4,0.2985,6,262,268
10279,3/9/2012,1,1,3,8,0,5,1,2,0.34,0.2879,0.42,0.5224,17,484,501
10280,3/9/2012,1,1,3,9,0,5,1,2,0.34,0.2879,0.42,0.5224,17,267,284
10281,3/9/2012,1,1,3,10,0,5,1,2,0.34,0.2879,0.36,0.4925,14,145,159
10282,3/9/2012,1,1,3,11,0,5,1,2,0.36,0.3333,0.34,0.3582,17,170,187
10283,3/9/2012,1,1,3,12,0,5,1,1,0.36,0.3333,0.34,0.4179,27,174,201
10284,3/9/2012,1,1,3,13,0,5,1,2,0.38,0.3939,0.29,0.3881,49,175,224
10285,3/9/2012,1,1,3,14,0,5,1,1,0.42,0.4242,0.28,0.4627,49,129,178
10286,3/9/2012,1,1,3,15,0,5,1,1,0.46,0.4545,0.24,0.2537,50,188,238
10287,3/9/2012,1,1,3,16,0,5,1,1,0.48,0.4697,0.23,0.4179,51,292,343
10288,3/9/2012,1,1,3,17,0,5,1,1,0.46,0.4545,0.24,0.3881,68,498,566
10289,3/9/2012,1,1,3,18,0,5,1,1,0.44,0.4394,0.26,0.5224,30,440,470
10290,3/9/2012,1,1,3,19,0,5,1,1,0.42,0.4242,0.28,0.6119,12,232,244
10291,3/9/2012,1,1,3,20,0,5,1,1,0.38,0.3939,0.32,0.3582,3,156,159
10292,3/9/2012,1,1,3,21,0,5,1,1,0.36,0.3333,0.34,0.3284,8,133,141
10293,3/9/2012,1,1,3,22,0,5,1,1,0.34,0.2879,0.31,0.4925,7,100,107
10294,3/9/2012,1,1,3,23,0,5,1,1,0.32,0.303,0.33,0.2985,9,77,86
10295,3/10/2012,1,1,3,0,0,6,0,1,0.3,0.2727,0.36,0.3582,9,68,77
10296,3/10/2012,1,1,3,1,0,6,0,1,0.3,0.2879,0.36,0.2537,1,50,51
10297,3/10/2012,1,1,3,2,0,6,0,1,0.26,0.2424,0.41,0.2537,12,30,42
10298,3/10/2012,1,1,3,3,0,6,0,1,0.26,0.2273,0.41,0.2985,0,16,16
10299,3/10/2012,1,1,3,4,0,6,0,1,0.24,0.2121,0.41,0.3582,1,3,4
10300,3/10/2012,1,1,3,5,0,6,0,1,0.22,0.2121,0.42,0.2836,3,7,10
10301,3/10/2012,1,1,3,6,0,6,0,1,0.22,0.2121,0.44,0.2836,1,11,12
10302,3/10/2012,1,1,3,7,0,6,0,1,0.22,0.2121,0.44,0.2537,4,36,40
10303,3/10/2012,1,1,3,8,0,6,0,1,0.22,0.2121,0.44,0.2985,15,96,111
10304,3/10/2012,1,1,3,9,0,6,0,1,0.24,0.2121,0.41,0.3284,21,127,148
10305,3/10/2012,1,1,3,10,0,6,0,1,0.26,0.2273,0.35,0.4179,47,176,223
10306,3/10/2012,1,1,3,11,0,6,0,1,0.3,0.2727,0.33,0.3284,56,218,274
10307,3/10/2012,1,1,3,12,0,6,0,1,0.3,0.2727,0.33,0.3284,88,241,329
10308,3/10/2012,1,1,3,13,0,6,0,1,0.32,0.303,0.29,0.2836,89,268,357
10309,3/10/2012,1,1,3,14,0,6,0,1,0.34,0.3182,0.27,0.2836,117,262,379
10310,3/10/2012,1,1,3,15,0,6,0,1,0.34,0.3636,0.25,0,132,274,406
10311,3/10/2012,1,1,3,16,0,6,0,1,0.36,0.3636,0.23,0,115,275,390
10312,3/10/2012,1,1,3,17,0,6,0,1,0.36,0.3788,0.23,0,104,250,354
10313,3/10/2012,1,1,3,18,0,6,0,1,0.36,0.3636,0.21,0.0896,67,230,297
10314,3/10/2012,1,1,3,19,0,6,0,1,0.34,0.3636,0.25,0,25,159,184
10315,3/10/2012,1,1,3,20,0,6,0,1,0.32,0.3333,0.33,0.1343,20,101,121
10316,3/10/2012,1,1,3,21,0,6,0,1,0.3,0.2879,0.39,0.2239,16,94,110
10317,3/10/2012,1,1,3,22,0,6,0,1,0.26,0.2576,0.44,0.1642,19,81,100
10318,3/10/2012,1,1,3,23,0,6,0,1,0.26,0.2576,0.41,0.194,6,77,83
10319,3/11/2012,1,1,3,0,0,0,0,1,0.26,0.2879,0.44,0.0896,7,62,69
10320,3/11/2012,1,1,3,1,0,0,0,1,0.24,0.2424,0.52,0.1642,4,57,61
10321,3/11/2012,1,1,3,3,0,0,0,1,0.24,0.2424,0.6,0.1343,15,51,66
10322,3/11/2012,1,1,3,4,0,0,0,1,0.24,0.2424,0.6,0.1343,7,15,22
10323,3/11/2012,1,1,3,5,0,0,0,1,0.24,0.2424,0.6,0.1642,2,5,7
10324,3/11/2012,1,1,3,6,0,0,0,1,0.24,0.2424,0.7,0.1642,2,8,10
10325,3/11/2012,1,1,3,7,0,0,0,1,0.22,0.2273,0.69,0.1343,2,15,17
10326,3/11/2012,1,1,3,8,0,0,0,1,0.22,0.2273,0.69,0.1343,4,68,72
10327,3/11/2012,1,1,3,9,0,0,0,1,0.26,0.2576,0.6,0.2239,20,70,90
10328,3/11/2012,1,1,3,10,0,0,0,1,0.32,0.303,0.49,0.2836,71,147,218
10329,3/11/2012,1,1,3,11,0,0,0,1,0.36,0.3333,0.43,0.2836,90,209,299
10330,3/11/2012,1,1,3,12,0,0,0,1,0.4,0.4091,0.37,0.2985,146,264,410
10331,3/11/2012,1,1,3,13,0,0,0,1,0.42,0.4242,0.41,0.2985,176,288,464
10332,3/11/2012,1,1,3,14,0,0,0,1,0.46,0.4545,0.31,0.2836,212,289,501
10333,3/11/2012,1,1,3,15,0,0,0,1,0.5,0.4848,0.29,0.2985,201,286,487
10334,3/11/2012,1,1,3,16,0,0,0,1,0.5,0.4848,0.31,0.3582,208,301,509
10335,3/11/2012,1,1,3,17,0,0,0,1,0.52,0.5,0.27,0.2985,199,299,498
10336,3/11/2012,1,1,3,18,0,0,0,1,0.52,0.5,0.29,0.2836,133,256,389
10337,3/11/2012,1,1,3,19,0,0,0,1,0.5,0.4848,0.31,0.2836,55,203,258
10338,3/11/2012,1,1,3,20,0,0,0,1,0.44,0.4394,0.47,0.2239,42,129,171
10339,3/11/2012,1,1,3,21,0,0,0,1,0.42,0.4242,0.54,0.2239,37,110,147
10340,3/11/2012,1,1,3,22,0,0,0,1,0.4,0.4091,0.54,0.194,13,81,94
10341,3/11/2012,1,1,3,23,0,0,0,1,0.4,0.4091,0.5,0.1642,12,40,52
10342,3/12/2012,1,1,3,0,0,1,1,1,0.38,0.3939,0.54,0.194,4,20,24
10343,3/12/2012,1,1,3,1,0,1,1,1,0.38,0.3939,0.5,0.1343,1,9,10
10344,3/12/2012,1,1,3,2,0,1,1,1,0.38,0.3939,0.54,0.1045,4,5,9
10345,3/12/2012,1,1,3,3,0,1,1,1,0.36,0.3485,0.5,0.1343,0,2,2
10346,3/12/2012,1,1,3,4,0,1,1,1,0.34,0.3333,0.61,0.194,0,3,3
10347,3/12/2012,1,1,3,5,0,1,1,1,0.34,0.3333,0.61,0.194,1,15,16
10348,3/12/2012,1,1,3,6,0,1,1,1,0.34,0.3485,0.57,0.1045,2,86,88
10349,3/12/2012,1,1,3,7,0,1,1,1,0.34,0.3485,0.53,0.1045,9,259,268
10350,3/12/2012,1,1,3,8,0,1,1,1,0.34,0.3333,0.61,0.1343,17,547,564
10351,3/12/2012,1,1,3,9,0,1,1,1,0.38,0.3939,0.54,0.1642,21,260,281
10352,3/12/2012,1,1,3,10,0,1,1,1,0.4,0.4091,0.5,0.2239,39,98,137
10353,3/12/2012,1,1,3,11,0,1,1,1,0.44,0.4394,0.44,0.2239,39,111,150
10354,3/12/2012,1,1,3,12,0,1,1,1,0.48,0.4697,0.39,0.2239,59,162,221
10355,3/12/2012,1,1,3,13,0,1,1,2,0.54,0.5152,0.32,0.2537,74,176,250
10356,3/12/2012,1,1,3,14,0,1,1,2,0.58,0.5455,0.32,0.2836,76,145,221
10357,3/12/2012,1,1,3,15,0,1,1,1,0.56,0.5303,0.4,0.1343,74,159,233
