"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"18472",18472,1,"Ideal","G","VVS2",62.8,53.9,7520,6.37,6.42,4.02
"14735",14735,1.05,"Ideal","I","VVS2",61.8,53,5932,6.56,6.57,4.06
"43347",43347,0.51,"Ideal","F","SI1",60,57,1406,5.25,5.21,3.14
"45985",45985,0.3,"Ideal","H","VS1",61.6,57,526,4.3,4.33,2.66
"21164",21164,1.21,"Ideal","G","VS1",62.7,54,9323,6.8,6.82,4.27
"50050",50050,0.78,"Premium","F","SI2",62.8,56,2200,5.9,5.86,3.69
"40692",40692,0.5,"Good","D","SI2",63.4,59,1157,5,5.03,3.18
"40285",40285,0.34,"Ideal","I","VS2",61.5,55,495,4.53,4.55,2.79
"11636",11636,1.11,"Ideal","J","VS2",61.7,54,5051,6.64,6.69,4.11
"101",101,0.75,"Very Good","D","SI1",63.2,56,2760,5.8,5.75,3.65
"3274",3274,1,"Premium","H","SI2",59.8,61,3360,6.24,6.17,3.71
"43695",43695,0.5,"Very Good","F","VS2",63,58,1436,5.05,5.08,3.19
"33196",33196,0.3,"Ideal","H","VVS1",62.6,56,819,4.28,4.25,2.67
"36436",36436,0.31,"Premium","D","VS2",60.7,59,942,4.38,4.35,2.65
"16650",16650,1.26,"Premium","F","SI2",61.3,58,6657,6.99,6.91,4.26
"7016",7016,0.92,"Good","D","SI1",63.6,57,4158,6.09,6.14,3.89
"3784",3784,0.96,"Ideal","I","VS2",59.8,57,3462,6.42,6.39,3.83
"39015",39015,0.43,"Ideal","G","VVS2",61.9,55,1056,4.84,4.86,3
"22235",22235,1.07,"Ideal","E","VVS2",61.7,57,10288,6.61,6.55,4.06
"33059",33059,0.3,"Ideal","F","VVS1",62,58,814,4.26,4.29,2.65
"39413",39413,0.41,"Ideal","F","VS1",62,55,1076,4.81,4.77,2.97
"25606",25606,1.6,"Ideal","G","VS2",62.2,55,14474,7.5,7.46,4.65
"50018",50018,0.7,"Premium","F","SI1",62.3,58,2196,5.67,5.72,3.55
"35465",35465,0.31,"Ideal","F","IF",61.6,56,901,4.35,4.38,2.69
"7001",7001,1,"Premium","F","SI2",62.8,57,4155,6.44,6.37,4.02
"44060",44060,0.59,"Premium","E","SI1",58.7,57,1550,5.53,5.47,3.23
"5387",5387,0.3,"Premium","G","SI1",58.8,60,574,4.39,4.35,2.57
"10213",10213,1.05,"Premium","E","SI2",60.4,58,4742,6.59,6.55,3.97
"17614",17614,1.13,"Very Good","F","VS1",61.6,58,7092,6.61,6.68,4.09
"6456",6456,0.91,"Premium","D","SI2",61.5,56,4051,6.27,6.22,3.84
"3265",3265,0.78,"Premium","E","VS1",60.9,57,3360,5.94,5.88,3.59
"43280",43280,0.3,"Premium","G","SI2",62.3,59,506,4.29,4.25,2.66
"25610",25610,1.51,"Very Good","F","VS1",58.9,60,14481,7.46,7.54,4.42
"49515",49515,0.5,"Very Good","F","VVS1",61.1,55,2122,5.14,5.18,3.15
"35059",35059,0.38,"Ideal","D","SI1",61.3,57,884,4.67,4.7,2.87
"50967",50967,0.71,"Ideal","G","SI2",60.6,57,2325,5.81,5.87,3.54
"25282",25282,1.24,"Ideal","D","VVS2",62.6,55,13929,6.94,6.89,4.33
"15262",15262,1.06,"Ideal","G","VS2",61.8,57,6128,6.52,6.56,4.04
"5493",5493,0.74,"Ideal","F","VVS2",61.4,56,3842,5.83,5.86,3.59
"15729",15729,1.23,"Premium","H","VS2",61.4,59,6291,6.85,6.87,4.21
"49662",49662,0.71,"Very Good","H","SI1",64,58,2141,5.57,5.61,3.58
"33646",33646,0.38,"Ideal","G","VS1",60.8,56,833,4.66,4.71,2.85
"44523",44523,0.53,"Very Good","D","VS2",63.2,56,1601,5.1,5.15,3.24
"6013",6013,1.09,"Premium","D","SI2",61.9,61,3961,6.58,6.54,4.06
"6500",6500,0.9,"Premium","E","VS2",62.3,55,4062,6.18,6.14,3.84
"23876",23876,2.03,"Very Good","J","SI2",60.9,60,11968,8.1,8.21,4.97
"31059",31059,0.39,"Ideal","G","VS1",61.3,56,752,4.68,4.71,2.88
"41156",41156,0.4,"Ideal","G","IF",61.2,56,1199,4.74,4.77,2.91
"3681",3681,0.51,"Ideal","D","IF",62,56,3446,5.14,5.18,3.2
"44537",44537,0.7,"Very Good","I","SI2",60.9,59,1603,5.7,5.76,3.49
"20971",20971,0.9,"Very Good","D","IF",62.4,54,9182,6.17,6.21,3.86
"38438",38438,0.49,"Premium","G","SI1",62.5,58,1026,5.03,4.98,3.13
"48176",48176,0.72,"Premium","J","VS2",61.4,58,1944,5.76,5.74,3.53
"24894",24894,1.2,"Premium","E","VVS1",60.2,60,13321,6.84,6.97,4.16
"43662",43662,0.56,"Premium","F","SI1",60.8,58,1436,5.31,5.34,3.24
"40648",40648,0.5,"Very Good","E","SI2",62.4,57,1154,5.03,5.07,3.15
"42449",42449,0.53,"Good","I","VS1",64.3,55,1315,5.17,5.13,3.31
"31151",31151,0.41,"Ideal","F","SI1",62.7,57,755,4.7,4.74,2.96
"41382",41382,0.46,"Ideal","J","IF",61.8,56,1221,4.98,4.95,3.07
"2988",2988,0.72,"Ideal","E","VS2",60.9,56,3301,5.81,5.84,3.55
"8795",8795,1.21,"Premium","F","SI2",61.8,59,4472,6.82,6.77,4.2
"19760",19760,1.11,"Premium","E","VS1",61.2,58,8329,6.69,6.65,4.08
"6732",6732,0.25,"Premium","H","VVS1",62.7,60,577,4.03,3.98,2.51
"16254",16254,1.01,"Very Good","E","SI1",63.4,55,6501,6.38,6.42,4.06
"52280",52280,0.81,"Very Good","G","SI2",62.9,56.9,2493,5.89,5.96,3.73
"34093",34093,0.31,"Ideal","D","VS2",61.8,55,852,4.33,4.36,2.69
"51215",51215,0.7,"Premium","G","SI1",60.3,61,2352,5.75,5.72,3.46
"7317",7317,1.02,"Very Good","F","SI2",60,60,4207,6.53,6.57,3.93
"18218",18218,1,"Premium","E","VS1",61.9,60,7392,6.44,6.41,3.98
"30143",30143,0.32,"Premium","G","VS2",62.5,60,720,4.38,4.32,2.72
"32003",32003,0.26,"Ideal","D","VVS2",61.4,55,777,4.1,4.17,2.54
"28073",28073,0.3,"Premium","D","VS1",60.7,58,661,4.34,4.36,2.64
"23126",23126,1.77,"Ideal","J","VS1",62.2,56,11150,7.77,7.73,4.82
"52071",52071,0.96,"Premium","I","SI2",59.1,62,2454,6.48,6.38,3.79
"10526",10526,1.01,"Good","D","SI2",63.6,57,4805,6.39,6.35,4.05
"15224",15224,1.62,"Good","J","SI2",64.2,62,6112,7.33,7.41,4.73
"41630",41630,0.29,"Good","F","VS1",64.4,54,504,4.21,4.24,2.72
"18405",18405,1.4,"Premium","F","SI2",59.9,60,7479,7.38,7.29,4.39
"9022",9022,1,"Premium","H","VS2",58.4,60,4514,6.36,6.3,3.7
"27699",27699,0.4,"Ideal","D","SI2",60.5,57,648,4.73,4.76,2.87
"31419",31419,0.3,"Ideal","G","VVS1",61.5,55,764,4.33,4.35,2.67
"17598",17598,1.21,"Ideal","I","VVS1",61.6,55,7086,6.88,6.8,4.21
"40129",40129,0.41,"Ideal","F","VVS2",61.7,56,1115,4.78,4.81,2.96
"39633",39633,0.34,"Ideal","G","IF",61.9,57,1084,4.48,4.47,2.77
"7353",7353,0.93,"Very Good","D","SI2",60.6,59,4214,6.3,6.34,3.83
"21826",21826,1.26,"Premium","F","VS1",62.7,58,9896,6.86,6.93,4.32
"15419",15419,1.38,"Premium","J","VS2",60.2,59,6175,7.29,7.19,4.36
"9558",9558,1.1,"Ideal","H","SI2",62.6,56,4620,6.65,6.57,4.14
"22351",22351,0.31,"Very Good","I","VS1",63.5,57,628,4.28,4.26,2.71
"8609",8609,1.08,"Ideal","J","SI1",61.8,56.2,4443,6.55,6.58,4.06
"22127",22127,1.2,"Premium","D","VS2",61.1,58,10161,6.85,6.83,4.18
"10942",10942,1.01,"Very Good","F","SI1",59.7,61,4899,6.49,6.55,3.89
"24906",24906,1.99,"Good","J","VS2",62.9,61,13338,7.91,8.06,4.99
"33818",33818,0.4,"Good","I","VVS1",63.9,56,842,4.64,4.68,2.98
"32768",32768,0.34,"Premium","D","SI1",59.6,61,803,4.53,4.5,2.69
"45401",45401,0.55,"Ideal","H","VVS2",61.6,55,1668,5.3,5.31,3.26
"25885",25885,1.6,"Ideal","G","VS2",61.9,56,15000,7.53,7.47,4.64
"31555",31555,0.38,"Ideal","I","VVS2",62.6,54,766,4.62,4.65,2.9
"16505",16505,2.1,"Fair","G","I1",67.4,59,6597,7.82,7.76,5.24
"51588",51588,0.75,"Ideal","F","SI2",62.6,55,2393,5.86,5.81,3.65
"43146",43146,0.52,"Very Good","E","SI1",62.9,59,1389,5.12,5.15,3.23
"24730",24730,1.71,"Good","H","VS2",63.7,58,13068,7.57,7.54,4.81
"34135",34135,0.3,"Ideal","F","VVS1",62,54.2,854,4.31,4.33,2.68
"30552",30552,0.31,"Premium","E","VS1",60,59,734,4.38,4.42,2.64
"40063",40063,0.43,"Premium","H","VS1",62.3,58,1113,4.81,4.75,2.98
"13256",13256,1.01,"Very Good","E","SI1",64.1,56,5479,6.29,6.35,4.05
"49442",49442,0.57,"Ideal","E","VS1",61.3,57,2110,5.34,5.37,3.28
"15524",15524,1.01,"Very Good","E","VS2",62.9,58,6221,6.37,6.47,4.04
"49117",49117,0.72,"Very Good","J","VS1",64,57,2066,5.67,5.71,3.64
"43284",43284,0.3,"Premium","F","SI2",61.7,62,506,4.27,4.25,2.63
"34858",34858,0.3,"Premium","G","VVS2",62.6,58,878,4.29,4.27,2.68
"35489",35489,0.46,"Very Good","F","SI1",60.1,57,904,5.01,5.04,3.02
"52752",52752,0.7,"Fair","D","VS2",65.2,59,2560,5.58,5.55,3.63
"47417",47417,0.57,"Ideal","E","VS2",61.9,57,1851,5.29,5.31,3.28
"42631",42631,0.51,"Ideal","H","SI1",62.1,55,1331,5.17,5.15,3.2
"50459",50459,0.7,"Premium","J","IF",60.5,59,2264,5.73,5.67,3.45
"17369",17369,1.22,"Premium","G","SI2",62.4,61,6969,6.79,6.79,4.23
"18434",18434,1.3,"Premium","H","SI1",59.9,59,7498,7.18,7.12,4.28
"9678",9678,1.52,"Fair","H","I1",65.4,62,4648,7.1,7.02,4.62
"21222",21222,1.52,"Good","G","SI1",64.4,59,9368,7.18,7.25,4.65
"19648",19648,1.52,"Premium","J","VS1",62,59,8258,7.36,7.34,4.56
"16364",16364,0.33,"Premium","D","SI1",60.3,58,608,4.47,4.49,2.7
"19473",19473,1.26,"Ideal","H","SI1",61.9,57,8110,6.88,6.93,4.27
"3774",3774,0.82,"Very Good","G","VS1",63.3,56,3460,5.96,5.98,3.78
"39623",39623,0.35,"Very Good","I","VS2",62.9,57,491,4.5,4.53,2.84
"45963",45963,0.24,"Ideal","E","VVS2",61.3,57,526,4,4.02,2.46
"5088",5088,1,"Premium","E","SI2",61,59,3752,6.4,6.33,3.89
"17403",17403,1.09,"Ideal","H","SI1",61.4,56,6970,6.61,6.64,4.07
"49489",49489,0.7,"Good","H","SI1",65,57,2117,5.52,5.59,3.61
"45943",45943,0.5,"Very Good","G","VVS2",62.4,56,1723,5.06,5.1,3.17
"45516",45516,0.58,"Ideal","E","VS2",62.3,54,1683,5.39,5.43,3.37
"46335",46335,0.58,"Premium","I","VVS1",62.6,59,1758,5.31,5.27,3.31
"40989",40989,0.45,"Premium","G","VVS2",61.4,61,1181,4.95,4.89,3.02
"5663",5663,0.9,"Ideal","F","SI2",62.4,57,3881,6.23,6.15,3.86
"6573",6573,1,"Premium","E","SI2",62.6,56,4077,6.43,6.39,4.01
"33093",33093,0.37,"Ideal","H","VVS1",61.4,55,815,4.64,4.67,2.86
"38773",38773,0.31,"Ideal","E","VVS2",61.6,55,1046,4.38,4.35,2.69
"14725",14725,0.3,"Premium","G","VS1",61.4,60,605,4.3,4.33,2.65
"41840",41840,0.59,"Very Good","H","SI2",61.2,60,1254,5.38,5.43,3.31
"26791",26791,2.03,"Ideal","H","SI2",61.6,55,16642,8.18,8.12,5.02
"13488",13488,1.5,"Premium","J","SI1",62.1,57,5536,7.42,7.26,4.56
"50280",50280,0.97,"Ideal","I","I1",61.6,53,2239,6.4,6.43,3.95
"17441",17441,1.24,"Ideal","G","SI1",60.5,60,6994,6.97,6.91,4.2
"925",925,0.71,"Very Good","E","VS2",60,59,2881,5.84,5.83,3.5
"6482",6482,0.9,"Fair","E","VS2",65,55,4057,6.11,6.04,3.95
"52131",52131,0.73,"Ideal","E","SI2",62.1,56,2467,5.74,5.79,3.58
"26427",26427,2.01,"Ideal","F","SI2",62.3,58,15955,8.03,8.01,5
"49511",49511,0.7,"Good","F","SI1",63.8,58,2121,5.56,5.67,3.58
"38213",38213,0.43,"Premium","F","SI1",62.9,60,1016,4.8,4.77,3.01
"2621",2621,0.74,"Very Good","F","VS1",61.7,57,3226,5.79,5.85,3.59
"2834",2834,0.8,"Very Good","F","SI1",61.6,56,3267,5.96,6,3.68
"50941",50941,0.73,"Ideal","H","SI1",62.6,57,2320,5.66,5.74,3.57
"16032",16032,0.3,"Premium","I","VS1",61.7,58,608,4.32,4.27,2.65
"416",416,0.43,"Very Good","E","I1",58.4,62,555,4.94,5,2.9
"6179",6179,0.9,"Good","F","SI1",63.9,58,3992,6.08,6.03,3.87
"33515",33515,0.44,"Very Good","F","SI1",62.8,59,829,4.88,4.91,3.07
"19854",19854,1.06,"Ideal","E","VS1",62.1,57,8413,6.49,6.52,4.04
"43844",43844,0.5,"Ideal","H","SI1",61.9,56,1446,5.08,5.13,3.16
"11514",11514,1.27,"Ideal","J","SI2",61.2,56,5021,6.99,6.95,4.27
"6894",6894,0.9,"Ideal","G","VS2",62.7,56,4133,6.25,6.15,3.89
"14965",14965,1.01,"Premium","G","VS2",61.6,58,6027,6.45,6.4,3.96
"27150",27150,1.97,"Very Good","H","VS2",62.9,59,17377,7.9,8.01,5
"15992",15992,1.01,"Very Good","E","VS2",58.1,60,6399,6.51,6.58,3.8
"24760",24760,2,"Very Good","J","VS2",60.7,59,13113,8.12,8.15,4.94
"1511",1511,1.24,"Premium","J","I1",61.9,55,2994,6.92,6.85,4.26
"6150",6150,1.05,"Good","F","SI2",63.6,59,3989,6.4,6.36,4.06
"51794",51794,0.7,"Very Good","I","VVS2",60.1,63,2415,5.81,5.74,3.47
"3938",3938,0.9,"Ideal","G","SI2",62.4,56,3500,6.14,6.19,3.85
"24803",24803,2.1,"Ideal","I","SI1",61.7,55,13182,8.21,8.13,5.04
"2918",2918,0.91,"Good","G","SI1",64.3,60,3286,6.12,6.04,3.91
"22786",22786,1.29,"Ideal","G","VVS2",62.4,57,10807,6.97,6.94,4.34
"27940",27940,0.23,"Very Good","H","VVS2",62.4,55,431,3.91,3.94,2.45
"4081",4081,0.91,"Very Good","G","SI2",60,57,3531,6.27,6.32,3.78
"22053",22053,1.16,"Ideal","G","IF",62.3,55,10082,6.79,6.73,4.21
"26582",26582,2.09,"Good","I","SI1",57.9,63,16294,8.37,8.46,4.87
"11195",11195,1,"Ideal","G","SI1",62.2,57,4956,6.45,6.38,3.99
"11676",11676,1,"Premium","F","SI1",59.8,59,5058,6.49,6.55,3.9
"15126",15126,1.34,"Ideal","H","VS2",61.2,56,6078,7.09,7.05,4.33
"1831",1831,0.9,"Good","G","SI2",63.6,57,3060,6.1,6.04,3.86
"26897",26897,2.01,"Premium","F","SI2",60.3,60,16881,8.11,8.08,4.88
"30034",30034,0.39,"Ideal","F","SI1",62.5,55,718,4.63,4.68,2.91
"2315",2315,1.01,"Premium","H","I1",58.1,59,3167,6.66,6.6,0
"40461",40461,0.53,"Good","E","SI2",57.9,58,1140,5.34,5.39,3.11
"37672",37672,0.42,"Ideal","E","SI1",61.3,57,992,4.81,4.79,2.94
"15124",15124,1.33,"Fair","G","SI2",63,62,6078,6.9,6.87,4.34
"24750",24750,1.96,"Very Good","H","SI2",62.7,58,13099,7.86,7.93,4.95
"34101",34101,0.43,"Very Good","G","VS2",62.4,56,852,4.84,4.87,3.02
"684",684,0.8,"Very Good","F","SI1",63.4,57,2851,5.89,5.82,3.71
"40509",40509,0.56,"Very Good","H","SI2",59.5,57,1144,5.4,5.43,3.22
"45244",45244,0.53,"Ideal","E","VS2",61.7,58,1659,5.16,5.27,3.22
"30665",30665,0.4,"Very Good","E","SI1",62,55,737,4.68,4.74,2.92
"10883",10883,1.21,"Ideal","I","SI2",64.6,56,4879,6.67,6.62,4.29
"15239",15239,1.27,"Premium","I","VS2",62.6,59,6116,6.95,6.86,4.32
"17079",17079,1.04,"Ideal","G","VS2",61.9,54,6809,6.53,6.56,4.05
"8049",8049,0.31,"Ideal","E","SI1",62.1,56,582,4.35,4.38,2.71
"46547",46547,0.51,"Premium","E","VS2",61.3,60,1781,5.16,5.11,3.15
"39077",39077,0.4,"Ideal","F","VS2",63.4,54,1059,4.73,4.68,2.99
"37910",37910,0.41,"Ideal","F","VS1",62,55,1007,4.77,4.81,2.97
"19286",19286,1,"Very Good","F","VVS1",63,56,8008,6.32,6.37,4
"36609",36609,0.34,"Very Good","E","SI2",62.5,59,477,4.43,4.46,2.78
"25377",25377,0.31,"Ideal","E","VS2",61.7,55,642,4.38,4.41,2.71
"48716",48716,0.77,"Premium","J","SI1",61.8,59,2010,5.86,5.82,3.61
"26150",26150,1.64,"Ideal","F","VS2",61.8,53,15458,7.62,7.63,4.71
"43761",43761,0.41,"Ideal","F","IF",62.1,55,1439,4.76,4.81,2.97
"7903",7903,1,"Ideal","H","SI2",61.4,56,4312,6.46,6.41,3.95
"2513",2513,0.74,"Ideal","F","VS2",62.1,56,3200,5.83,5.79,3.61
"22040",22040,0.31,"Premium","I","VS1",60.8,59,628,4.41,4.37,2.67
"52306",52306,0.25,"Good","D","VVS2",57.5,61,548,4.16,4.19,2.4
"51584",51584,0.6,"Premium","E","VVS2",62.4,61,2393,5.36,5.31,3.33
"26071",26071,2.05,"Premium","G","SI1",61.6,59,15291,8.2,8.16,5.04
"36984",36984,0.24,"Ideal","F","VVS1",61.1,56,963,4.01,4.05,2.47
"40610",40610,0.29,"Ideal","H","VS1",61.8,57,498,4.27,4.31,2.64
"36773",36773,0.3,"Ideal","E","VVS1",61.4,56,956,4.37,4.33,2.67
"46664",46664,0.56,"Ideal","F","VS1",62.7,56,1787,5.25,5.3,3.31
"11454",11454,1.01,"Premium","G","SI1",62.2,58,5006,6.42,6.4,3.99
"23422",23422,2,"Premium","F","SI2",61.5,59,11413,8.03,7.95,4.92
"4575",4575,0.76,"Ideal","E","VS1",60.5,56,3649,5.94,5.99,3.61
"37546",37546,0.38,"Ideal","F","VS1",61.5,55,988,4.68,4.69,2.88
"2387",2387,0.32,"Premium","G","VS2",61.5,60,561,4.36,4.39,2.69
"6319",6319,1.16,"Ideal","J","SI1",60.7,57,4028,6.83,6.77,4.13
"4961",4961,0.9,"Good","I","IF",63.7,64,3734,6.02,6.07,3.85
"8452",8452,1.07,"Premium","H","SI2",61.2,60,4413,6.53,6.57,4.01
"14903",14903,1.02,"Premium","D","SI1",60.6,59,5998,6.53,6.47,3.94
"39930",39930,0.31,"Ideal","E","VVS1",61.5,56,1105,4.34,4.37,2.68
"3739",3739,0.33,"Ideal","I","VVS1",61.7,55.7,570,4.43,4.45,2.74
"44084",44084,0.6,"Very Good","F","SI1",60,61,1554,5.48,5.52,3.3
"52750",52750,0.6,"Premium","F","VVS2",61.1,58,2560,5.41,5.45,3.32
"37905",37905,0.41,"Ideal","G","VVS2",61,57,1007,4.78,4.8,2.92
