"Cost4_A" "md_earn_wne_p10" "STATE"
"167" 44854 40500 "AR"
"170" 30606 46200 "AR"
"175" 10126 21800 "AR"
"176" 12672 22500 "AR"
"179" 11292 25500 "AR"
"180" 8739 27800 "AR"
"181" 29140 37500 "AR"
"182" 11549 24100 "AR"
"183" 12363 25200 "AR"
"184" 31596 31100 "AR"
"185" 10662 25600 "AR"
"186" 20107 26200 "AR"
"187" 15921 21200 "AR"
"188" 12639 26700 "AR"
"190" 13677 28700 "AR"
"191" 12160 23000 "AR"
"192" 9754 21300 "AR"
"195" 20545 32300 "AR"
"196" 12823 26100 "AR"
"197" 16466 35900 "AR"
"198" 13779 26800 "AR"
"200" 14353 29900 "AR"
"201" 34399 36100 "CA"
"202" 25652 38400 "CA"
"206" 10977 34300 "CA"
"207" 9493 29500 "CA"
"208" 37393 30200 "CA"
"214" 11078 27600 "CA"
"216" 11744 27000 "CA"
"217" 54019 51700 "CA"
"220" 41514 49000 "CA"
"221" 7966 29700 "CA"
"223" 14384 31800 "CA"
"226" 41843 40700 "CA"
"227" 34322 29100 "CA"
"229" 24617 42300 "CA"
"230" 12122 29800 "CA"
"233" 12410 32100 "CA"
"234" 36439 41800 "CA"
"235" 49375 35700 "CA"
"237" 52389 74000 "CA"
"238" 44254 52900 "CA"
"239" 21479 60900 "CA"
"241" 15517 48100 "CA"
"242" 15474 44900 "CA"
"243" 16516 45500 "CA"
"244" 15424 52000 "CA"
"245" 20730 45100 "CA"
"246" 11281 42800 "CA"
"247" 15479 43200 "CA"
"248" 13476 46500 "CA"
"249" 18698 51300 "CA"
"250" 16087 46900 "CA"
"251" 13161 44900 "CA"
"252" 19660 44200 "CA"
"253" 18655 46500 "CA"
"254" 30800 62700 "CA"
"255" 28950 57100 "CA"
"256" 27346 55800 "CA"
"257" 29240 59200 "CA"
"258" 27146 48700 "CA"
"259" 27700 59600 "CA"
"261" 30224 52000 "CA"
"262" 30670 44600 "CA"
"266" 25240 40400 "CA"
"267" 32570 32800 "CA"
"269" 53643 32500 "CA"
"270" 20707 81100 "CA"
"272" 9895 29300 "CA"
"273" 9677 34200 "CA"
"283" 7973 31400 "CA"
"284" 11853 24900 "CA"
"285" 12465 32900 "CA"
"286" 13237 28100 "CA"
"287" 53733 51800 "CA"
"288" 27900 63000 "CA"
"289" 38324 42100 "CA"
"290" 35943 34400 "CA"
"292" 8321 29100 "CA"
"293" 9162 36900 "CA"
"295" 55330 63600 "CA"
"298" 8870 30500 "CA"
"299" 33058 48500 "CA"
"300" 29887 49200 "CA"
"303" 9608 23000 "CA"
"305" 12789 30200 "CA"
"307" 14613 29000 "CA"
"308" 12714 28000 "CA"
"309" 13639 30500 "CA"
"310" 13137 32900 "CA"
"311" 7894 26800 "CA"
"313" 8759 33000 "CA"
"314" 9247 43600 "CA"
"318" 12921 29700 "CA"
"319" 33201 33900 "CA"
"320" 28778 46500 "CA"
"321" 13280 38300 "CA"
"322" 53169 51400 "CA"
"324" 13395 31600 "CA"
"327" 15365 30200 "CA"
"334" 13474 32700 "CA"
"335" 39798 34500 "CA"
"336" 30576 30400 "CA"
"337" 40198 34500 "CA"
"338" 36012 34500 "CA"
"339" 13762 26900 "CA"
"344" 10675 47600 "CA"
"347" 9856 26000 "CA"
"348" 32745 39700 "CA"
"350" 8378 32700 "CA"
"352" 10147 26900 "CA"
"354" 8874 30800 "CA"
"357" 11256 31700 "CA"
"359" 6509 32300 "CA"
"361" 13696 29500 "CA"
"362" 55288 78600 "CA"
"363" 24959 35200 "CA"
"364" 24640 30100 "CA"
"365" 24083 42100 "CA"
"366" 25430 37400 "CA"
"367" 23993 40000 "CA"
"369" 42438 50100 "CA"
"371" 20650 36200 "CA"
"372" 24148 31300 "CA"
"373" 8147 24500 "CA"
"378" 15191 35200 "CA"
"379" 25701 38400 "CA"
"380" 25355 38400 "CA"
"381" 25376 38400 "CA"
"385" 9284 25200 "CA"
"386" 23594 31200 "CA"
"387" 30432 38200 "CA"
"388" 40660 52700 "CA"
"389" 34839 39800 "CA"
"390" 10010 28400 "CA"
"392" 12165 27600 "CA"
"393" 14187 25300 "CA"
"397" 37224 41300 "CA"
"399" 9523 27800 "CA"
"401" 14154 29700 "CA"
"402" 12578 33600 "CA"
"403" 10396 25900 "CA"
"404" 10977 26500 "CA"
"405" 12392 30600 "CA"
"406" 37830 40900 "CA"
"407" 10244 25600 "CA"
"409" 13025 28900 "CA"
"410" 14068 34300 "CA"
"411" 33172 38200 "CA"
"412" 52047 55600 "CA"
"423" 14840 32300 "CA"
"425" 38024 32600 "CA"
"426" 13480 23500 "CA"
"427" 49770 50600 "CA"
"428" 8509 26100 "CA"
"429" 14966 28500 "CA"
"430" 51877 39000 "CA"
"431" 7984 29500 "CA"
"433" 13324 32800 "CA"
"436" 11822 27500 "CA"
"439" 12604 34100 "CA"
"440" 14116 38500 "CA"
"441" 9033 33800 "CA"
"442" 43368 50200 "CA"
"443" 11826 26500 "CA"
"445" 37224 26100 "CA"
"446" 14913 34300 "CA"
"448" 29833 29500 "CA"
"449" 26753 25800 "CA"
"453" 27592 24500 "CA"
"454" 15930 42900 "CA"
"456" 23851 54800 "CA"
"463" 45656 51300 "CA"
"464" 55691 50100 "CA"
"466" 14015 39000 "CA"
"467" 11269 34800 "CA"
"468" 47067 42000 "CA"
"469" 13822 29100 "CA"
"470" 35802 35100 "CA"
"477" 36748 48600 "CA"
"478" 47871 66400 "CA"
"479" 12403 26500 "CA"
"480" 10942 31700 "CA"
"483" 10498 33500 "CA"
"484" 28165 28900 "CA"
"485" 53084 61400 "CA"
"486" 55080 45300 "CA"
"487" 41815 35300 "CA"
"488" 39828 50300 "CA"
"489" 53490 52600 "CA"
"490" 8947 26100 "CA"
"491" 29329 34200 "CA"
"493" 8740 32400 "CA"
"496" 49598 53800 "CA"
"497" 11188 25300 "CA"
"501" 10763 32000 "CA"
"502" 11593 30000 "CA"
"503" 26372 38200 "CA"
"506" 10927 31000 "CA"
"507" 16645 33900 "CA"
"509" 11419 27000 "CA"
"510" 28442 26400 "CA"
"511" 11021 34900 "CA"
"512" 11161 36900 "CA"
"513" 18157 48700 "CA"
"514" 52952 56300 "CA"
"515" 50925 24600 "CA"
"517" 20374 46900 "CA"
"519" 52583 61000 "CA"
"521" 13644 29400 "CA"
"522" 21387 26900 "CA"
"523" 20239 26900 "CA"
"524" 31436 38600 "CA"
"525" 14587 29900 "CA"
"526" 21586 54600 "CA"
"527" 10366 39900 "CA"
"528" 22572 24000 "CA"
"529" 29095 32200 "CA"
"530" 19228 29000 "CA"
"531" 14671 33900 "CA"
"532" 53122 67700 "CA"
"533" 7386 31800 "CA"
"534" 12495 33900 "CA"
"536" 54700 47200 "CA"
"538" 7821 26500 "CA"
"540" 12215 24900 "CA"
"541" 13232 29500 "CA"
"543" 22452 32200 "CA"
"545" 32045 33700 "CA"
"546" 14092 25600 "CA"
"548" 9003 38000 "CA"
"549" 11596 24900 "CA"
"550" 52357 59000 "CA"
"551" 12228 34100 "CA"
"552" 21245 45600 "CA"
"556" 39081 38800 "CA"
"558" 9807 30700 "CA"
"562" 55493 66100 "CA"
"564" 11959 31800 "CA"
"568" 24797 27500 "CA"
"573" 13878 30900 "CA"
"575" 11931 25800 "CA"
"576" 12557 27100 "CA"
"577" 27807 54900 "MN"
"578" 9104 27700 "CA"
"579" 11774 28900 "CA"
"580" 14164 33300 "CA"
"583" 49990 48300 "CA"
"584" 48759 45100 "CA"
"585" 40545 45600 "CA"
"590" 10879 26200 "CA"
"592" 16505 33200 "CO"
"593" 13315 31700 "CO"
"594" 13366 35200 "CO"
"595" 22697 30600 "CO"
"596" 26108 24700 "CO"
"597" 24097 21100 "CO"
"598" 20984 73800 "CO"
"599" 17773 41200 "CO"
"600" 23535 40300 "CO"
"601" 25747 48000 "CO"
"602" 34590 40500 "CO"
"603" 50847 41100 "CO"
"605" 35310 32400 "CO"
"606" 8308 28800 "CO"
"607" 15189 38300 "CO"
"608" 25121 74700 "CO"
"610" 18682 44300 "CO"
"611" 22413 44100 "CO"
"613" 23256 32000 "CO"
"614" 21120 28800 "CO"
"616" 26472 34700 "CO"
"617" 14241 27900 "CO"
"620" 22450 35000 "CO"
"621" 49811 51400 "CO"
"623" 18725 34000 "CO"
"624" 15816 35400 "CO"
"629" 15430 26600 "CO"
"630" 18115 34600 "CO"
"631" 13037 38600 "CO"
"632" 15396 29600 "CO"
"633" 39119 18600 "CO"
"634" 22436 37800 "CO"
"635" 20026 37800 "CO"
"636" 18475 34500 "CO"
"637" 14867 34200 "CO"
"638" 18186 39000 "CO"
"639" 15712 28900 "CO"
"640" 26423 26400 "CO"
"641" 17958 29900 "CO"
"643" 15396 26900 "CO"
"644" 15913 34600 "CO"
"645" 41825 53100 "CO"
"646" 38760 28100 "CO"
"648" 16097 36200 "CO"
"649" 14025 19100 "CO"
"652" 15767 25000 "CO"
"654" 16716 36500 "CO"
"655" 37999 52200 "CT"
"657" 10667 32400 "CT"
"659" 31390 30300 "CT"
"660" 23545 66800 "CT"
"661" 42076 40600 "CT"
"663" 19771 43700 "CT"
"666" 55010 51000 "CT"
"668" 32069 44300 "CT"
"669" 24474 53900 "CT"
"670" 32909 25800 "CT"
"672" 24119 42400 "CT"
"673" 52799 69000 "CT"
"675" 13392 35000 "CT"
"679" 42723 45900 "CT"
"681" 9251 30100 "CT"
"682" 25028 32600 "CT"
"685" 13497 33800 "CT"
"686" 10559 32500 "CT"
"687" 8573 30100 "CT"
"688" 42253 29800 "CT"
"689" 7564 32600 "CT"
"692" 45145 48900 "CT"
"694" 11469 31900 "CT"
"695" 11077 27000 "CT"
"696" 20654 24600 "CT"
"698" 32120 36300 "CT"
"699" 37307 36600 "CT"
"700" 10531 25100 "CT"
"701" 48715 56400 "CT"
"702" 47073 54100 "CT"
"703" 40295 49700 "CT"
"704" 11198 30200 "CT"
"705" 18160 64000 "CT"
"706" 17015 41700 "CT"
"709" 55505 56100 "CT"
"710" 10661 34300 "CT"
"711" 56641 50900 "CT"
"712" 19617 43300 "CT"
"714" 55300 66000 "CT"
"717" 8019 28800 "DE"
"718" 7991 29000 "DE"
"719" 7951 33500 "DE"
"720" 20006 34200 "DE"
"721" 20325 54300 "DE"
"722" 31394 43900 "DE"
"724" 33766 41400 "DE"
"725" 16347 43000 "DE"
"726" 51935 55900 "DC"
"727" 50072 54500 "DC"
"728" 44491 34100 "DC"
"729" 18512 36200 "DC"
"731" 26898 25600 "DC"
"732" 55625 64500 "DC"
"733" 56485 83300 "DC"
"734" 30127 46500 "DC"
"736" 31329 51700 "DC"
"738" 29452 52100 "DC"
"741" 34168 29500 "FL"
"743" 15418 29900 "FL"
"744" 40050 45300 "FL"
"746" 26152 28700 "FL"
"747" 46188 35500 "FL"
"750" 10475 28700 "FL"
"751" 13021 33400 "FL"
"752" 22945 20900 "FL"
"753" 28720 24900 "FL"
"754" 13610 29700 "FL"
"755" 24510 29500 "FL"
"756" 17692 43000 "FL"
"757" 9634 20000 "FL"
"758" 9102 29700 "FL"
"759" 26428 34700 "FL"
"761" 11464 27000 "FL"
"762" 30765 29800 "FL"
"763" 46581 40800 "FL"
"764" 14535 32300 "FL"
"765" 22108 25600 "FL"
"766" 43924 60900 "FL"
"767" 16693 37300 "FL"
"768" 18365 41400 "FL"
"769" 11101 32100 "FL"
"770" 26350 37200 "FL"
"771" 23690 36900 "FL"
"775" 22663 51100 "FL"
"776" 47704 53100 "FL"
"778" 16964 45100 "FL"
"779" 28899 27100 "FL"
"780" 23611 27700 "FL"
"781" 41126 34300 "FL"
"783" 34340 37600 "FL"
"784" 18145 44000 "FL"
"787" 17784 51300 "FL"
"788" 23936 30000 "FL"
"790" 37457 34100 "FL"
"792" 4267 40300 "FL"
"793" 9807 29900 "FL"
"794" 22640 33000 "FL"
"795" 10161 32500 "FL"
"799" 6565 28700 "FL"
"800" 30396 27800 "FL"
"802" 32791 29300 "FL"
"804" 26088 38400 "FL"
"805" 38525 47700 "FL"
"806" 13856 28300 "FL"
"807" 25715 29600 "FL"
"810" 9152 30200 "FL"
"812" 8467 30400 "FL"
"817" 19437 38600 "GA"
"818" 15009 29600 "FL"
"822" 11242 27300 "FL"
"825" 15815 30500 "FL"
"826" 53928 52400 "FL"
"829" 25255 28900 "FL"
"830" 27236 26100 "FL"
"831" 28156 26100 "FL"
"833" 29468 31400 "FL"
"834" 28122 21000 "FL"
"836" 9216 27300 "FL"
"837" 16726 41600 "FL"
"838" 30893 44600 "FL"
"839" 36014 46500 "FL"
"840" 14657 29500 "FL"
"842" 25577 25300 "FL"
"844" 35124 38100 "FL"
"845" 7834 31500 "FL"
"846" 9536 29100 "FL"
"847" 10664 27500 "FL"
"849" 10534 31200 "FL"
"850" 5790 20800 "FL"
"854" 17585 19500 "FL"
"855" 49141 32800 "FL"
"858" 54030 42200 "FL"
"860" 30628 42600 "FL"
"861" 11923 32000 "FL"
"863" 12036 33500 "FL"
"865" 26372 38200 "FL"
"866" 12074 32300 "FL"
"869" 10658 29500 "FL"
"870" 10315 28300 "FL"
"871" 19798 41700 "FL"
"872" 33299 42600 "FL"
"873" 30122 27100 "FL"
"874" 45278 42600 "FL"
"875" 26903 32600 "FL"
"878" 9366 30900 "FL"
"880" 25560 26200 "FL"
"881" 34464 25300 "FL"
"882" 34364 44400 "FL"
"886" 14722 26700 "FL"
"887" 20426 31700 "FL"
"889" 15291 32100 "FL"
"890" 27081 42200 "FL"
"892" 31231 35800 "FL"
"893" 22756 31300 "FL"
"894" 15224 36300 "FL"
"899" 13137 31900 "GA"
"901" 43133 39400 "GA"
"902" 15613 22700 "GA"
"903" 15618 22700 "GA"
"904" 16889 22000 "GA"
"905" 10430 31700 "GA"
"906" 16044 32700 "GA"
"907" 24822 26400 "GA"
"908" 17519 39400 "GA"
"909" 36137 31600 "GA"
"911" 12312 21900 "GA"
"912" 29444 28800 "GA"
"913" 14358 26700 "GA"
"916" 31950 33700 "GA"
"917" 11098 22400 "GA"
"918" 14449 34300 "GA"
"919" 9813 24200 "GA"
"920" 31428 24400 "GA"
"922" 37255 37700 "GA"
"923" 11105 26800 "GA"
"924" 31349 42600 "GA"
"925" 28101 34700 "GA"
"926" 17964 27600 "GA"
"927" 11739 28000 "GA"
"928" 10179 27800 "GA"
"930" 17222 38500 "GA"
"932" 12135 26000 "GA"
"933" 16041 36100 "GA"
"934" 10448 25700 "GA"
"935" 35756 39800 "GA"
"936" 9501 30400 "GA"
"938" 31100 46500 "GA"
"939" 32978 29800 "GA"
"940" 11859 29700 "GA"
"941" 21067 32900 "GA"
"942" 53556 59000 "GA"
"943" 10190 34100 "GA"
"944" 18686 28900 "GA"
"946" 19793 74000 "GA"
"947" 16538 36400 "GA"
"948" 12341 31400 "GA"
"949" 21175 38500 "GA"
"950" 10800 31300 "GA"
"951" 20604 39300 "GA"
"952" 21965 41500 "GA"
"953" 19628 46500 "GA"
"954" 12902 29900 "GA"
"955" 12035 25100 "GA"
"956" 18802 29100 "GA"
"957" 25812 26400 "GA"
"958" 15325 33600 "GA"
"959" 6134 25000 "GA"
"961" 19128 41300 "GA"
"962" 34938 38100 "GA"
"963" 9451 25800 "GA"
"964" 26179 32200 "GA"
"965" 8029 21300 "GA"
"966" 10335 33400 "GA"
"967" 12090 28400 "GA"
"968" 23360 42300 "GA"
"970" 43261 46600 "GA"
"971" 11474 31400 "GA"
"972" 41188 40900 "GA"
"974" 14986 21900 "GA"
"975" 15538 42400 "GA"
"976" 12591 21200 "GA"
"977" 40262 43900 "GA"
"978" 21012 25900 "GA"
"979" 28968 38800 "GA"
"980" 34565 47900 "GA"
"981" 28866 35400 "GA"
"982" 10101 25800 "GA"
"983" 45153 35400 "GA"
"984" 15156 30800 "GA"
"985" 28385 43000 "GA"
"986" 12372 32700 "GA"
"987" 9945 23300 "GA"
"988" 26981 51800 "GA"
"989" 37974 46400 "GA"
"990" 15954 52400 "GA"
"991" 9632 25200 "GA"
"992" 20670 37400 "GA"
"993" 27592 26400 "GA"
"994" 24762 32400 "GA"
"995" 9468 24100 "GA"
"996" 19616 38000 "GA"
"997" 11796 29500 "GA"
"998" 28400 37100 "GA"
"999" 16725 36900 "GA"
"1000" 29706 34100 "GA"
"1001" 23378 37400 "HI"
"1002" 29111 37300 "HI"
"1003" 13886 34500 "HI"
"1004" 17273 44300 "HI"
"1006" 27416 43400 "HI"
"1007" 8154 31200 "HI"
"1008" 8093 33300 "HI"
"1009" 8757 31900 "HI"
"1010" 6698 29700 "HI"
"1011" 10880 28900 "HI"
"1015" 9125 42300 "HI"
"1016" 11113 32200 "HI"
"1019" 15334 35300 "ID"
"1020" 13988 28400 "ID"
"1021" 16501 35400 "ID"
"1022" 18700 39900 "ID"
"1023" 31728 38900 "ID"
"1024" 17344 32700 "ID"
"1025" 26808 38400 "ID"
"1028" 11423 29000 "ID"
"1029" 31103 36500 "ID"
"1031" 12761 39000 "ID"
"1032" 10209 26900 "ID"
"1036" 30505 26700 "IL"
"1037" 54078 31700 "IL"
"1039" 42616 49600 "IL"
"1040" 29591 41500 "IL"
"1042" 10376 26000 "IL"
"1044" 10285 29000 "IL"
"1045" 20656 38000 "IL"
"1048" 36700 52400 "IL"
"1058" 9015 28800 "IL"
"1063" 18738 34200 "IL"
"1065" 57590 62800 "IL"
"1066" 13214 22500 "IL"
"1067" 11935 23700 "IL"
"1068" 11966 23700 "IL"
"1069" 11113 27100 "IL"
"1070" 9407 29000 "IL"
"1071" 9350 24900 "IL"
"1072" 8709 31500 "IL"
"1073" 37162 32700 "IL"
"1074" 32920 41500 "IL"
"1075" 30543 32800 "IL"
"1077" 10101 24700 "IL"
"1079" 41862 50900 "IL"
"1080" 30771 46500 "IL"
"1082" 10827 35000 "IL"
"1083" 27489 22300 "IL"
"1084" 20941 41200 "IL"
"1085" 9487 31300 "IL"
"1086" 37698 48100 "IL"
"1087" 26652 37300 "IL"
"1089" 24259 35300 "IL"
"1094" 31730 37700 "IL"
"1098" 32705 35000 "IL"
"1099" 33568 17600 "IL"
"1100" 9564 25900 "IL"
"1102" 22378 51600 "IL"
"1103" 32211 51000 "IL"
"1105" 26538 56600 "IL"
"1106" 44802 54600 "IL"
"1107" 9854 32000 "IL"
"1108" 32795 37700 "IL"
"1109" 6143 28200 "IL"
"1110" 43917 68200 "IL"
"1111" 25924 38200 "IL"
"1112" 24270 45100 "IL"
"1113" 10689 28600 "IL"
"1115" 25699 25200 "IL"
"1116" 7712 25400 "IL"
"1118" 11738 27800 "IL"
"1119" 8698 29600 "IL"
"1120" 35329 37000 "IL"
"1121" 10714 27900 "IL"
"1122" 9406 24600 "IL"
"1124" 38046 40500 "IL"
"1125" 11870 32200 "IL"
"1126" 41565 41600 "IL"
"1128" 8577 31200 "IL"
"1129" 46781 48100 "IL"
"1131" 9608 27700 "IL"
"1133" 10370 24900 "IL"
"1134" 32075 47100 "IL"
"1136" 22502 29300 "IL"
"1137" 32547 29200 "IL"
"1138" 11876 29800 "IL"
"1140" 46134 50600 "IL"
"1145" 23185 28400 "IL"
"1146" 28006 36700 "IL"
"1148" 7419 28400 "IL"
"1149" 33808 42500 "IL"
"1152" 24950 25900 "IL"
"1153" 38916 42900 "IL"
"1154" 36790 40700 "IL"
"1156" 10441 33000 "IL"
"1157" 22190 44200 "IL"
"1158" 8563 31200 "IL"
"1160" 26957 43700 "IL"
"1163" 37965 45700 "IL"
"1164" 30760 41400 "IL"
"1166" 25012 43900 "IL"
"1167" 27744 29700 "IL"
"1168" 56406 64100 "IL"
"1169" 21129 36000 "IL"
"1170" 8991 38500 "IL"
"1172" 35347 37700 "IL"
"1173" 9873 31000 "IL"
"1175" 9562 26200 "IL"
"1177" 34507 38500 "IL"
"1178" 22433 28400 "IL"
"1179" 37146 34900 "IL"
"1180" 10501 26200 "IL"
"1181" 9737 26900 "IL"
"1182" 28698 33200 "IL"
"1183" 9204 30900 "IL"
"1184" 21792 22800 "IL"
"1185" 34700 39100 "IL"
"1186" 40600 44600 "IL"
"1187" 34345 44400 "IL"
"1190" 32139 44600 "IL"
"1192" 34296 45300 "IL"
"1193" 20661 41800 "IL"
"1194" 11568 27700 "IL"
"1195" 11937 22000 "IL"
"1197" 15340 24600 "IL"
"1199" 10318 26400 "IL"
"1202" 14675 27600 "IL"
"1206" 22319 41500 "IL"
"1207" 23358 39800 "IL"
"1208" 23368 20500 "IL"
"1210" 8973 26500 "IL"
"1212" 33793 41400 "IL"
"1213" 34600 38200 "IL"
"1214" 8793 33000 "IL"
"1217" 8868 30800 "IL"
"1219" 22485 41100 "IL"
"1220" 38430 42600 "IL"
"1221" 10898 34600 "IL"
"1222" 22456 29200 "IN"
"1223" 35507 35900 "IN"
"1225" 19655 39000 "IN"
"1226" 31248 36500 "IN"
"1227" 43838 52400 "IN"
"1228" 18743 37200 "IN"
"1230" 14518 23300 "IN"
"1233" 46135 47800 "IN"
"1236" 46444 32300 "IN"
"1237" 39474 40000 "IN"
"1238" 35150 41000 "IN"
"1240" 34273 36300 "IN"
"1241" 30774 33200 "IN"
"1244" 38200 44400 "IN"
"1246" 31172 36300 "IN"
"1248" 31510 35500 "IN"
"1249" 15847 24100 "IN"
"1250" 15174 28400 "IN"
"1251" 15300 27400 "IN"
"1252" 15458 26500 "IN"
"1253" 15785 22100 "IN"
"1254" 15538 29000 "IN"
"1255" 15854 25300 "IN"
"1256" 15119 30400 "IN"
"1257" 15363 25500 "IN"
"1258" 15121 26900 "IN"
"1259" 16023 24800 "IN"
"1260" 15352 25700 "IN"
"1261" 14467 26700 "IN"
"1262" 19216 35900 "IN"
"1263" 19956 39100 "IN"
"1264" 22078 24700 "IN"
"1265" 21246 24700 "IN"
"1266" 21931 24700 "IN"
"1267" 21933 24700 "IN"
"1268" 21844 24700 "IN"
"1269" 20369 24700 "IN"
"1270" 33799 41600 "IN"
"1271" 34380 41100 "IN"
"1272" 17069 35500 "IN"
"1273" 19133 36000 "IN"
"1274" 15643 33600 "IN"
"1275" 16025 33800 "IN"
"1276" 20990 45300 "IN"
"1277" 17830 35900 "IN"
"1278" 16486 34000 "IN"
"1279" 14166 29100 "IN"
"1280" 24528 27200 "IN"
"1281" 27352 27200 "IN"
"1282" 25772 38400 "TN"
"1283" 25985 38400 "IN"
"1284" 27535 38400 "IN"
"1288" 27901 25200 "IN"
"1289" 27797 25200 "IN"
"1292" 34797 38000 "IN"
"1293" 36632 40400 "IN"
"1294" 31339 46000 "IN"
"1295" 21250 22300 "IN"
"1299" 28404 25200 "IN"
"1300" 12386 35400 "IN"
"1302" 53239 69400 "IN"
"1303" 23272 33700 "IN"
"1306" 14367 38100 "IN"
"1307" 13124 35200 "IN"
"1310" 51427 78900 "IN"
"1312" 30243 40000 "IN"
"1313" 34431 39800 "IN"
"1314" 36450 30200 "IN"
"1315" 43200 45600 "IN"
"1319" 31741 41800 "IN"
"1320" 36084 38600 "IN"
"1321" 38945 42600 "IN"
"1322" 39887 48100 "IN"
"1324" 14780 32200 "IN"
"1325" 41400 49900 "IN"
"1326" 27651 52400 "IA"
"1327" 20374 37200 "IA"
"1328" 33892 38600 "IA"
"1329" 36270 38100 "IA"
"1333" 38962 41200 "IA"
"1334" 34279 40900 "IA"
"1335" 41750 43800 "IA"
"1336" 42820 41900 "IA"
"1338" 13367 34500 "IA"
"1340" 33854 38400 "IA"
"1341" 39550 55700 "IA"
"1342" 30500 36900 "IA"
"1343" 14397 32000 "IA"
"1344" 19706 27400 "IA"
"1345" 13019 30000 "IA"
"1346" 23116 28100 "IA"
"1348" 31902 36600 "IA"
"1349" 29512 39200 "IA"
"1350" 49062 45600 "IA"
"1351" 19670 34400 "IA"
"1352" 30068 34400 "IA"
"1353" 18213 35800 "IA"
"1354" 14263 34400 "IA"
"1356" 14287 31500 "IA"
"1357" 11544 32700 "IA"
"1358" 13421 29700 "IA"
"1362" 18834 47200 "IA"
"1363" 33428 34100 "IA"
"1364" 12432 34100 "IA"
"1365" 20353 48700 "IA"
"1366" 14595 33600 "IA"
"1371" 35335 41200 "IA"
"1372" 42707 42500 "IA"
"1374" 13134 30400 "IA"
"1375" 23694 44300 "IA"
"1376" 34038 35600 "IA"
"1377" 34300 43200 "IA"
"1378" 23329 37500 "IA"
"1379" 10471 32400 "IA"
